ふん	感動詞,*,*,*,*,*,ふん,フン,フン,s
EOS
チャッピー	名詞,固有名詞,一般,*,*,*,チャッピー,チャッピー,チャッピー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
へえ	感動詞,*,*,*,*,*,へえ,ヘエ,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほー	フィラー,*,*,*,*,*,ほー,ホー,ホー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,i
しよ	動詞,自立,*,*,サ変・スル,未然ウ接続,する,シヨ,シヨ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
聞こ	動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,聞く,キコ,キコ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,i
喋ら	動詞,自立,*,*,五段・ラ行,未然形,喋る,シャベラ,シャベラ,i
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,i
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
祭り	名詞,一般,*,*,*,*,祭り,マツリ,マツリ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
かなり	副詞,一般,*,*,*,*,かなり,カナリ,カナリ,i
盛り上がっ	動詞,自立,*,*,五段・ラ行,連用タ接続,盛り上がる,モリアガッ,モリアガッ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
祭り	動詞,自立,*,*,五段・ラ行,連用形,祭る,マツリ,マツリ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
音	名詞,一般,*,*,*,*,音,オト,オト,s
聞こえ	動詞,自立,*,*,一段,連用形,聞こえる,キコエ,キコエ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
祭り	動詞,自立,*,*,五段・ラ行,連用形,祭る,マツリ,マツリ,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
祭り	名詞,一般,*,*,*,*,祭り,マツリ,マツリ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
盛り上がり	名詞,一般,*,*,*,*,盛り上がり,モリアガリ,モリアガリ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
盛り上がり	名詞,一般,*,*,*,*,盛り上がり,モリアガリ,モリアガリ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,i
盛り上がん	動詞,自立,*,*,五段・ラ行,未然特殊,盛り上がる,モリアガン,モリアガン,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
祭り	動詞,自立,*,*,五段・ラ行,連用形,祭る,マツリ,マツリ,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
盛り上がる	動詞,自立,*,*,五段・ラ行,基本形,盛り上がる,モリアガル,モリアガル,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
、	記号,読点,*,*,*,*,、,、,、,s
下積み	名詞,一般,*,*,*,*,下積み,シタヅミ,シタズミ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
準備	名詞,サ変接続,*,*,*,*,準備,ジュンビ,ジュンビ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
当日	名詞,副詞可能,*,*,*,*,当日,トウジツ,トージツ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
てー	助詞,接続助詞,*,*,*,*,て,テー,テー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あと	名詞,副詞可能,*,*,*,*,あと,アト,アト,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
、	記号,読点,*,*,*,*,、,、,、,s
さびしく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,さびしい,サビシク,サビシク,s
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うー	副詞,一般,*,*,*,*,うー,ウー,ウー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,i
、	記号,読点,*,*,*,*,、,、,、,i
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
出店	名詞,一般,*,*,*,*,出店,デミセ,デミセ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
出店	名詞,一般,*,*,*,*,出店,デミセ,デミセ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
出店	名詞,一般,*,*,*,*,出店,デミセ,デミセ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
すっきゃ	名詞,形容動詞語幹・縮約形,*,*,*,*,すきや,スッキャ,スッキャ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おん	感動詞,*,*,*,*,*,おん,オン,オン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
出店	名詞,一般,*,*,*,*,出店,デミセ,デミセ,i
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,i
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,i
、	記号,読点,*,*,*,*,、,、,、,i
西	名詞,一般,*,*,*,*,西,ニシ,ニシ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
きらきら	副詞,一般,*,*,*,*,きらきら,キラキラ,キラキラ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
、	記号,読点,*,*,*,*,、,、,、,i
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,i
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
布団	名詞,一般,*,*,*,*,布団,フトン,フトン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
布団	名詞,一般,*,*,*,*,布団,フトン,フトン,s
太鼓	名詞,一般,*,*,*,*,太鼓,タイコ,タイコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
すっきゃ	名詞,形容動詞語幹・縮約形,*,*,*,*,すきや,スッキャ,スッキャ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今年	名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
そら	名詞,代名詞・縮約形,*,*,*,*,それは,ソラ,ソラ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほー	感動詞,*,*,*,*,*,ほー,ホー,ホー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
か所	名詞,接尾,助数詞,*,*,*,か所,カショ,カショ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,i
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
プラン	名詞,一般,*,*,*,*,プラン,プラン,プラン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
おー	感動詞,*,*,*,*,*,おー,オー,オー,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
休み	名詞,一般,*,*,*,*,休み,ヤスミ,ヤスミ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
合え	動詞,自立,*,*,一段,連用形,合える,アエ,アエ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
か所	名詞,接尾,助数詞,*,*,*,か所,カショ,カショ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
か所	名詞,接尾,助数詞,*,*,*,か所,カショ,カショ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
楽し	形容詞,自立,*,*,形容詞・イ段,ガル接続,楽しい,タノシ,タノシ,i
そう	名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
他	名詞,副詞可能,*,*,*,*,他,ホカ,ホカ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,i
、	記号,読点,*,*,*,*,、,、,、,i
どっか	副詞,一般,*,*,*,*,どっか,ドッカ,ドッカ,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どっか	副詞,一般,*,*,*,*,どっか,ドッカ,ドッカ,i
、	記号,読点,*,*,*,*,、,、,、,i
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,i
、	記号,読点,*,*,*,*,、,、,、,i
出かけ	動詞,自立,*,*,一段,連用形,出かける,デカケ,デカケ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ああ	感動詞,*,*,*,*,*,ああ,アア,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ディズニーランド	名詞,固有名詞,一般,*,*,*,ディズニーランド,ディズニーランド,ディズニーランド,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ディズニーランド	名詞,固有名詞,一般,*,*,*,ディズニーランド,ディズニーランド,ディズニーランド,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あたし	名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あたし	名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
わあ	助詞,終助詞,*,*,*,*,わ,ワア,ワー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ディズニーランド	名詞,固有名詞,一般,*,*,*,ディズニーランド,ディズニーランド,ディズニーランド,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
わくわく	副詞,助詞類接続,*,*,*,*,わくわく,ワクワク,ワクワク,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
わくわく	副詞,助詞類接続,*,*,*,*,わくわく,ワクワク,ワクワク,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
