四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
一致	名詞,サ変接続,*,*,*,*,一致,イッチ,イッチ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,命令ｅ,くれる,クレ,クレ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
ドナー	名詞,一般,*,*,*,*,ドナー,ドナー,ドナー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
探さ	動詞,自立,*,*,五段・サ行,未然形,探す,サガサ,サガサ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
まず	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,まずい,マズ,マズ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
待っ	動詞,自立,*,*,五段・タ行,連用タ接続,待つ,マッ,マッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あか	動詞,自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,s
かかる	動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,s
かかる	動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク,s
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
、	記号,読点,*,*,*,*,、,、,、,s
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
喋れ	動詞,自立,*,*,一段,未然形,喋れる,シャベレ,シャベレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ください	動詞,非自立,*,*,五段・ラ行特殊,連用形,くださる,クダサイ,クダサイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
いる	動詞,自立,*,*,五段・ラ行,基本形,いる,イル,イル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんぼ	副詞,助詞類接続,*,*,*,*,なんぼ,ナンボ,ナンボ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ゆう	名詞,固有名詞,人名,名,*,*,ゆう,ユウ,ユー,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
、	記号,読点,*,*,*,*,、,、,、,i
一	名詞,数,*,*,*,*,一,イチ,イチ,i
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
、	記号,読点,*,*,*,*,、,、,、,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,i
かかる	動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
治療	名詞,サ変接続,*,*,*,*,治療,チリョウ,チリョー,s
費	名詞,接尾,一般,*,*,*,費,ヒ,ヒ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
過ごし	動詞,自立,*,*,五段・サ行,連用形,過ごす,スゴシ,スゴシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
アパート	名詞,一般,*,*,*,*,アパート,アパート,アパート,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
アパート	名詞,一般,*,*,*,*,アパート,アパート,アパート,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
借り	動詞,自立,*,*,一段,連用形,借りる,カリ,カリ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
、	記号,読点,*,*,*,*,、,、,、,i
借り	動詞,自立,*,*,一段,連用形,借りる,カリ,カリ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
、	記号,読点,*,*,*,*,、,、,、,i
五	名詞,数,*,*,*,*,五,ゴ,ゴ,i
千	名詞,数,*,*,*,*,千,セン,セン,i
万	副詞,一般,*,*,*,*,万,バン,バン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
万	副詞,一般,*,*,*,*,万,バン,バン,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
七	名詞,数,*,*,*,*,七,ナナ,ナナ,i
千	名詞,数,*,*,*,*,千,セン,セン,i
万	副詞,一般,*,*,*,*,万,バン,バン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
万	副詞,一般,*,*,*,*,万,バン,バン,s
なんて	副詞,一般,*,*,*,*,なんて,ナンテ,ナンテ,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
一般	名詞,一般,*,*,*,*,一般,イッパン,イッパン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,s
、	記号,読点,*,*,*,*,、,、,、,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
よっぽど	副詞,一般,*,*,*,*,よっぽど,ヨッポド,ヨッポド,s
、	記号,読点,*,*,*,*,、,、,、,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
金持ち	名詞,一般,*,*,*,*,金持ち,カネモチ,カネモチ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
そら	名詞,代名詞・縮約形,*,*,*,*,それは,ソラ,ソラ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
億	名詞,数,*,*,*,*,億,オク,オク,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
はる	動詞,非自立,*,*,五段・ラ行,基本形,はる,ハル,ハル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
七	名詞,数,*,*,*,*,七,ナナ,ナナ,i
千	名詞,数,*,*,*,*,千,セン,セン,i
万	副詞,一般,*,*,*,*,万,バン,バン,i
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
万	名詞,一般,*,*,*,*,万,ヨロズ,ヨロズ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
かかり	動詞,自立,*,*,五段・ラ行,連用形,かかる,カカリ,カカリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
さら	名詞,非自立,一般,*,*,*,さら,サラ,サラ,s
っと	助詞,格助詞,引用,*,*,*,っと,ット,ット,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へっ	感動詞,*,*,*,*,*,へっ,ヘッ,ヘッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
万	名詞,一般,*,*,*,*,万,ヨロズ,ヨロズ,s
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
とても	副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ,s
や	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤ,ヤ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
用意	名詞,サ変接続,*,*,*,*,用意,ヨウイ,ヨーイ,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほな	接続詞,*,*,*,*,*,ほな,ホナ,ホナ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
いくら	副詞,一般,*,*,*,*,いくら,イクラ,イクラ,s
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いくら	副詞,一般,*,*,*,*,いくら,イクラ,イクラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
こんなん	名詞,一般,副詞可能,*,*,*,こんなん,コンナン,コンナン,i
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,i
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
怖い	形容詞,自立,*,*,形容詞・アウオ段,基本形,怖い,コワイ,コワイ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
「	記号,括弧開,*,*,*,*,「,「,「,s
いくら	副詞,一般,*,*,*,*,いくら,イクラ,イクラ,s
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
万	副詞,一般,*,*,*,*,万,バン,バン,s
用意	名詞,サ変接続,*,*,*,*,用意,ヨウイ,ヨーイ,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
