一本	名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,s
君	名詞,接尾,人名,*,*,*,君,クン,クン,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
道	名詞,一般,*,*,*,*,道,ミチ,ミチ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
すとーんと	副詞,一般,*,*,*,*,すとーんと,ストーント,ストーント,s
三	名詞,数,*,*,*,*,三,サン,サン,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
メートル	名詞,接尾,助数詞,*,*,*,メートル,メートル,メートル,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
東	名詞,一般,*,*,*,*,東,ヒガシ,ヒガシ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
本家	名詞,一般,*,*,*,*,本家,ホンケ,ホンケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
動い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,動く,ウゴイ,ウゴイ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
住む	動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム,i
場所	名詞,一般,*,*,*,*,場所,バショ,バショ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
育ち	動詞,自立,*,*,五段・タ行,連用形,育つ,ソダチ,ソダチ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
育ち	名詞,一般,*,*,*,*,育ち,ソダチ,ソダチ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,i
、	記号,読点,*,*,*,*,、,、,、,i
現住所	名詞,一般,*,*,*,*,現住所,ゲンジュウショ,ゲンジューショ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
日野	名詞,固有名詞,地域,一般,*,*,日野,ヒノ,ヒノ,s
村	名詞,接尾,地域,*,*,*,村,ソン,ソン,s
扇	名詞,固有名詞,地域,一般,*,*,扇,オウギ,オーギ,s
町	名詞,接尾,地域,*,*,*,町,チョウ,チョー,s
、	記号,読点,*,*,*,*,、,、,、,s
扇	名詞,固有名詞,地域,一般,*,*,扇,オウギ,オーギ,s
町	名詞,接尾,地域,*,*,*,町,チョウ,チョー,s
や	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤ,ヤ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
日野	名詞,固有名詞,地域,一般,*,*,日野,ヒノ,ヒノ,s
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
日野	名詞,固有名詞,地域,一般,*,*,日野,ヒノ,ヒノ,i
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ,i
、	記号,読点,*,*,*,*,、,、,、,i
西脇	名詞,固有名詞,地域,一般,*,*,西脇,ニシワキ,ニシワキ,i
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
西脇	名詞,固有名詞,地域,一般,*,*,西脇,ニシワキ,ニシワキ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
西脇	名詞,固有名詞,地域,一般,*,*,西脇,ニシワキ,ニシワキ,s
村	名詞,接尾,地域,*,*,*,村,ムラ,ムラ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
西脇	名詞,固有名詞,地域,一般,*,*,西脇,ニシワキ,ニシワキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
大きかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,大きい,オオキカッ,オーキカッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
枝	名詞,一般,*,*,*,*,枝,エダ,エダ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
のん	名詞,非自立,一般,*,*,*,のん,ノン,ノン,s
、	記号,読点,*,*,*,*,、,、,、,s
枝	名詞,一般,*,*,*,*,枝,エダ,エダ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
や	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤ,ヤ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
範囲	名詞,一般,*,*,*,*,範囲,ハンイ,ハンイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
西脇	名詞,固有名詞,地域,一般,*,*,西脇,ニシワキ,ニシワキ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
西脇	名詞,固有名詞,地域,一般,*,*,西脇,ニシワキ,ニシワキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
辺	名詞,一般,*,*,*,*,辺,ヘン,ヘン,s
、	記号,読点,*,*,*,*,、,、,、,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
竹藪	名詞,一般,*,*,*,*,竹藪,タケヤブ,タケヤブ,s
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,s
田んぼ	名詞,一般,*,*,*,*,田んぼ,タンボ,タンボ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
、	記号,読点,*,*,*,*,、,、,、,i
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
竹	名詞,一般,*,*,*,*,竹,タケ,タケ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
竹藪	名詞,一般,*,*,*,*,竹藪,タケヤブ,タケヤブ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
竹	名詞,一般,*,*,*,*,竹,タケ,タケ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
根っこ	名詞,一般,*,*,*,*,根っこ,ネッコ,ネッコ,i
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,i
地面	名詞,一般,*,*,*,*,地面,ジメン,ジメン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
下	名詞,一般,*,*,*,*,下,シタ,シタ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
おる	動詞,自立,*,*,五段・ラ行,基本形,おる,オル,オル,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
竹	名詞,一般,*,*,*,*,竹,タケ,タケ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
層	名詞,一般,*,*,*,*,層,ソウ,ソー,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
根っこ	名詞,一般,*,*,*,*,根っこ,ネッコ,ネッコ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
浅い	形容詞,自立,*,*,形容詞・アウオ段,基本形,浅い,アサイ,アサイ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
地表	名詞,一般,*,*,*,*,地表,チヒョウ,チヒョー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
へん	名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
シューッて	副詞,一般,*,*,*,*,シューッて,シューッテ,シューッテ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
這う	動詞,自立,*,*,五段・ワ行促音便,基本形,這う,ハウ,ハウ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
掘り返し	動詞,自立,*,*,五段・サ行,連用形,掘り返す,ホリカエシ,ホリカエシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
しも	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,しまう,シモ,シモ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
さかい	助詞,接続助詞,*,*,*,*,さかい,サカイ,サカイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
目	名詞,一般,*,*,*,*,目,メ,メ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
ものすごい	副詞,一般,*,*,*,*,ものすごい,モノスゴイ,モノスゴイ,s
繁殖	名詞,サ変接続,*,*,*,*,繁殖,ハンショク,ハンショク,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
さかい	助詞,接続助詞,*,*,*,*,さかい,サカイ,サカイ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
繁殖	名詞,サ変接続,*,*,*,*,繁殖,ハンショク,ハンショク,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そういえば	接続詞,*,*,*,*,*,そういえば,ソウイエバ,ソウイエバ,i
、	記号,読点,*,*,*,*,、,、,、,i
橋	名詞,一般,*,*,*,*,橋,ハシ,ハシ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
交差点	名詞,一般,*,*,*,*,交差点,コウサテン,コーサテン,i
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
竹藪	名詞,一般,*,*,*,*,竹藪,タケヤブ,タケヤブ,i
、	記号,読点,*,*,*,*,、,、,、,i
ちっちゃい	形容詞,自立,*,*,形容詞・アウオ段,基本形,ちっちゃい,チッチャイ,チッチャイ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
残っ	動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ,s
とう	助動詞,*,*,*,特殊・タ,基本形,とう,トウ,トー,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
田んぼ	名詞,一般,*,*,*,*,田んぼ,タンボ,タンボ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
作り	動詞,自立,*,*,五段・ラ行,連用形,作る,ツクリ,ツクリ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
田んぼ	名詞,一般,*,*,*,*,田んぼ,タンボ,タンボ,s
、	記号,読点,*,*,*,*,、,、,、,s
借り	動詞,自立,*,*,一段,連用形,借りる,カリ,カリ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ,s
国	名詞,一般,*,*,*,*,国,クニ,クニ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
あるいは	接続詞,*,*,*,*,*,あるいは,アルイハ,アルイワ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
地主	名詞,一般,*,*,*,*,地主,ジヌシ,ジヌシ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
、	記号,読点,*,*,*,*,、,、,、,s
大きな	連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,s
百姓	名詞,一般,*,*,*,*,百姓,ヒャクショウ,ヒャクショー,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
借り	動詞,自立,*,*,五段・ラ行,連用形,借る,カリ,カリ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
辺	名詞,一般,*,*,*,*,辺,ヘン,ヘン,s
、	記号,読点,*,*,*,*,、,、,、,s
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
畑	名詞,一般,*,*,*,*,畑,ハタケ,ハタケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
ばっかり	助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もしか	副詞,助詞類接続,*,*,*,*,もしか,モシカ,モシカ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
わりと	副詞,一般,*,*,*,*,わりと,ワリト,ワリト,i
、	記号,読点,*,*,*,*,、,、,、,i
竹内	名詞,固有名詞,人名,姓,*,*,竹内,タケウチ,タケウチ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
竹中	名詞,固有名詞,人名,姓,*,*,竹中,タケナカ,タケナカ,i
君	名詞,接尾,人名,*,*,*,君,クン,クン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
多かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,多い,オオカッ,オーカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
せい	名詞,非自立,一般,*,*,*,せい,セイ,セイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
分から	動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
山下	名詞,固有名詞,人名,姓,*,*,山下,ヤマシタ,ヤマシタ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
、	記号,読点,*,*,*,*,、,、,、,s
山本	名詞,固有名詞,人名,姓,*,*,山本,ヤマモト,ヤマモト,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
やら	助詞,並立助詞,*,*,*,*,やら,ヤラ,ヤラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一般	名詞,一般,*,*,*,*,一般,イッパン,イッパン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんど	名詞,一般,*,*,*,*,なんど,ナンド,ナンド,s
、	記号,読点,*,*,*,*,、,、,、,s
明治	名詞,固有名詞,一般,*,*,*,明治,メイジ,メイジ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
変わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
苗字	名詞,一般,*,*,*,*,苗字,ミョウジ,ミョージ,i
名乗り	動詞,自立,*,*,五段・ラ行,連用形,名乗る,ナノリ,ナノリ,i
始め	動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,i
無かっ	助動詞,*,*,*,形容詞・イ段,連用タ接続,無い,ナカッ,ナカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,s
