出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
弁当	名詞,一般,*,*,*,*,弁当,ベントウ,ベントー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
金曜日	名詞,副詞可能,*,*,*,*,金曜日,キンヨウビ,キンヨービ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
夜	名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
次	名詞,一般,*,*,*,*,次,ツギ,ツギ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
食べる	動詞,自立,*,*,一段,基本形,食べる,タベル,タベル,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル,i
材料	名詞,一般,*,*,*,*,材料,ザイリョウ,ザイリョー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
スーパー	名詞,一般,*,*,*,*,スーパー,スーパー,スーパー,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
買い	名詞,一般,*,*,*,*,買い,カイ,カイ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,i
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,i
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,i
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
当たっ	動詞,自立,*,*,五段・ラ行,連用タ接続,当たる,アタッ,アタッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
困っ	動詞,自立,*,*,五段・ラ行,連用タ接続,困る,コマッ,コマッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,i
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
表記	名詞,サ変接続,*,*,*,*,表記,ヒョウキ,ヒョーキ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
見た目	名詞,一般,*,*,*,*,見た目,ミタメ,ミタメ,s
大体	副詞,一般,*,*,*,*,大体,ダイタイ,ダイタイ,s
同じ	名詞,形容動詞語幹,*,*,*,*,同じ,オナジ,オナジ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
困っ	動詞,自立,*,*,五段・ラ行,連用タ接続,困る,コマッ,コマッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
レジ	名詞,一般,*,*,*,*,レジ,レジ,レジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ばんばん	副詞,一般,*,*,*,*,ばんばん,バンバン,バンバン,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
分から	動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
、	記号,読点,*,*,*,*,、,、,、,s
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
、	記号,読点,*,*,*,*,、,、,、,s
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
、	記号,読点,*,*,*,*,、,、,、,i
スーパー	名詞,一般,*,*,*,*,スーパー,スーパー,スーパー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
似	動詞,自立,*,*,一段,連用形,似る,ニ,ニ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
税込み	名詞,一般,*,*,*,*,税込み,ゼイコミ,ゼイコミ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
税	名詞,一般,*,*,*,*,税,ゼイ,ゼイ,s
抜き	動詞,自立,*,*,五段・カ行イ音便,連用形,抜く,ヌキ,ヌキ,s
じゃん	助動詞,*,*,*,特殊・ジャ,基本形,じゃん,ジャン,ジャン,s
、	記号,読点,*,*,*,*,、,、,、,s
普通	副詞,助詞類接続,*,*,*,*,普通,フツウ,フツー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
税	名詞,一般,*,*,*,*,税,ゼイ,ゼイ,s
抜き	名詞,一般,*,*,*,*,抜き,ヌキ,ヌキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
税込み	名詞,一般,*,*,*,*,税込み,ゼイコミ,ゼイコミ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
値段	名詞,一般,*,*,*,*,値段,ネダン,ネダン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
違うく	動詞,自立,*,*,五段・特殊,連用タ接続,違う,チャウク,チャウク,s
なる	動詞,非自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
パスタ	名詞,一般,*,*,*,*,パスタ,パスタ,パスタ,s
作り	動詞,自立,*,*,五段・ラ行,連用形,作る,ツクリ,ツクリ,s
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
、	記号,読点,*,*,*,*,、,、,、,s
中国	名詞,一般,*,*,*,*,中国,チュウコク,チューコク,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
特に	副詞,一般,*,*,*,*,特に,トクニ,トクニ,s
解か	動詞,自立,*,*,五段・カ行イ音便,未然形,解く,トカ,トカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
得意	名詞,形容動詞語幹,*,*,*,*,得意,トクイ,トクイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
、	記号,読点,*,*,*,*,、,、,、,i
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
もらっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
誕生	名詞,サ変接続,*,*,*,*,誕生,タンジョウ,タンジョー,s
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
食べる	動詞,自立,*,*,一段,基本形,食べる,タベル,タベル,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
定番	名詞,一般,*,*,*,*,定番,テイバン,テイバン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
食べ物	名詞,一般,*,*,*,*,食べ物,タベモノ,タベモノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
赤飯	名詞,一般,*,*,*,*,赤飯,セキハン,セキハン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
わかめ	名詞,一般,*,*,*,*,わかめ,ワカメ,ワカメ,s
スープ	名詞,一般,*,*,*,*,スープ,スープ,スープ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
チャプチェー	名詞,一般,*,*,*,*,チャプチェー,チャプチェー,チャプチェー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
肉	名詞,一般,*,*,*,*,肉,ニク,ニク,s
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
肉じゃが	名詞,一般,*,*,*,*,肉じゃが,ニクジャガ,ニクジャガ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
バージョン	名詞,一般,*,*,*,*,バージョン,バージョン,バージョン,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
ナムル	名詞,一般,*,*,*,*,ナムル,ナムル,ナムル,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
学ん	動詞,自立,*,*,五段・バ行,連用タ接続,学ぶ,マナン,マナン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
作れる	動詞,自立,*,*,一段,基本形,作れる,ツクレル,ツクレル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
味	名詞,一般,*,*,*,*,味,アジ,アジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
レシピ	名詞,一般,*,*,*,*,レシピ,レシピ,レシピ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
同じ	名詞,形容動詞語幹,*,*,*,*,同じ,オナジ,オナジ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
味	名詞,一般,*,*,*,*,味,アジ,アジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
チャプチェー	名詞,一般,*,*,*,*,チャプチェー,チャプチェー,チャプチェー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
チャプチェー	名詞,一般,*,*,*,*,チャプチェー,チャプチェー,チャプチェー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
炒め	動詞,自立,*,*,一段,連用形,炒める,イタメ,イタメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
野菜	名詞,一般,*,*,*,*,野菜,ヤサイ,ヤサイ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
春雨	名詞,一般,*,*,*,*,春雨,ハルサメ,ハルサメ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
春雨	名詞,一般,*,*,*,*,春雨,ハルサメ,ハルサメ,s
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
太い	形容詞,自立,*,*,形容詞・アウオ段,基本形,太い,フトイ,フトイ,s
麺	名詞,一般,*,*,*,*,麺,メン,メン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
春雨	名詞,一般,*,*,*,*,春雨,ハルサメ,ハルサメ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
似	動詞,自立,*,*,一段,連用形,似る,ニ,ニ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
味	名詞,一般,*,*,*,*,味,アジ,アジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
麺	名詞,一般,*,*,*,*,麺,メン,メン,s
料理	名詞,サ変接続,*,*,*,*,料理,リョウリ,リョーリ,s
、	記号,読点,*,*,*,*,、,、,、,s
炒め	動詞,自立,*,*,一段,連用形,炒める,イタメ,イタメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
麺	名詞,一般,*,*,*,*,麺,メン,メン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
誕生	名詞,サ変接続,*,*,*,*,誕生,タンジョウ,タンジョー,i
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
