普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
少年	名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
リトル	名詞,一般,*,*,*,*,リトル,リトル,リトル,s
ジャイアンツ	名詞,一般,*,*,*,*,ジャイアンツ,ジャイアンツ,ジャイアンツ,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
阪神	名詞,固有名詞,地域,一般,*,*,阪神,ハンシン,ハンシン,s
ファン	名詞,一般,*,*,*,*,ファン,ファン,ファン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
くせ	名詞,非自立,一般,*,*,*,くせ,クセ,クセ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
リトル	名詞,一般,*,*,*,*,リトル,リトル,リトル,s
ジャイアンツ	名詞,一般,*,*,*,*,ジャイアンツ,ジャイアンツ,ジャイアンツ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
じいちゃん	名詞,一般,*,*,*,*,じいちゃん,ジイチャン,ジーチャン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
死ん	動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
じいちゃん	名詞,一般,*,*,*,*,じいちゃん,ジイチャン,ジーチャン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
入ら	動詞,自立,*,*,五段・ラ行,未然形,入る,ハイラ,ハイラ,s
し	動詞,接尾,*,*,五段・サ行,連用形,す,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
ゆっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,ユッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
少年	名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
かて	助詞,係助詞,*,*,*,*,かて,カテ,カテ,s
キャッチャー	名詞,一般,*,*,*,*,キャッチャー,キャッチャー,キャッチャー,s
やらさ	動詞,自立,*,*,五段・サ行,未然形,やらす,ヤラサ,ヤラサ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
最終	名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ピッチャー	名詞,一般,*,*,*,*,ピッチャー,ピッチャー,ピッチャー,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
西播大会	名詞,固有名詞,一般,*,*,*,西播大会,西播大会,西播大会,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なんやかんや	副詞,助詞類接続,*,*,*,*,なんやかんや,ナンヤカンヤ,ナンヤカンヤ,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
優勝	名詞,サ変接続,*,*,*,*,優勝,ユウショウ,ユーショー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
県	名詞,一般,*,*,*,*,県,ケン,ケン,s
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
県	名詞,一般,*,*,*,*,県,ケン,ケン,s
大会	名詞,一般,*,*,*,*,大会,タイカイ,タイカイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
淡路島	名詞,固有名詞,地域,一般,*,*,淡路島,アワジシマ,アワジシマ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんやかんや	副詞,助詞類接続,*,*,*,*,なんやかんや,ナンヤカンヤ,ナンヤカンヤ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回戦	名詞,接尾,助数詞,*,*,*,回戦,カイセン,カイセン,s
敗退	名詞,サ変接続,*,*,*,*,敗退,ハイタイ,ハイタイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
つもり	名詞,非自立,一般,*,*,*,つもり,ツモリ,ツモリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
田舎	名詞,一般,*,*,*,*,田舎,イナカ,イナカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
全員	名詞,副詞可能,*,*,*,*,全員,ゼンイン,ゼンイン,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
入ら	動詞,自立,*,*,五段・ラ行,未然形,入る,ハイラ,ハイラ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ,s
、	記号,読点,*,*,*,*,、,、,、,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
強制	名詞,サ変接続,*,*,*,*,強制,キョウセイ,キョーセイ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
強制	名詞,サ変接続,*,*,*,*,強制,キョウセイ,キョーセイ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
帰宅	名詞,サ変接続,*,*,*,*,帰宅,キタク,キタク,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
必ず	副詞,助詞類接続,*,*,*,*,必ず,カナラズ,カナラズ,s
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
どこか	名詞,一般,*,*,*,*,どこか,ドコカ,ドコカ,s
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
バレー	名詞,一般,*,*,*,*,バレー,バレー,バレー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
卓球	名詞,サ変接続,*,*,*,*,卓球,タッキュウ,タッキュー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,i
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
三つ	名詞,一般,*,*,*,*,三つ,ミッツ,ミッツ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
クラス	名詞,一般,*,*,*,*,クラス,クラス,クラス,s
かて	助詞,係助詞,*,*,*,*,かて,カテ,カテ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
クラス	名詞,接尾,助数詞,*,*,*,クラス,クラス,クラス,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
クラス	名詞,一般,*,*,*,*,クラス,クラス,クラス,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
クラス	名詞,接尾,助数詞,*,*,*,クラス,クラス,クラス,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
学年	名詞,一般,*,*,*,*,学年,ガクネン,ガクネン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
手	名詞,一般,*,*,*,*,手,テ,テ,s
挙げ	動詞,自立,*,*,一段,連用形,挙げる,アゲ,アゲ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
割り振ら	動詞,自立,*,*,五段・ラ行,未然形,割り振る,ワリフラ,ワリフラ,s
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
どっか	副詞,一般,*,*,*,*,どっか,ドッカ,ドッカ,s
入ら	動詞,自立,*,*,五段・ラ行,未然形,入る,ハイラ,ハイラ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
森岡	名詞,固有名詞,人名,姓,*,*,森岡,モリオカ,モリオカ,s
君	名詞,接尾,人名,*,*,*,君,クン,クン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
背	名詞,一般,*,*,*,*,背,セ,セ,s
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
バレー	名詞,一般,*,*,*,*,バレー,バレー,バレー,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,命令ｅ,くれる,クレ,クレ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,しまう,モ,モ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,i
あか	動詞,自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,i
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たかっ	助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカッ,タカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
だいぶ	副詞,一般,*,*,*,*,だいぶ,ダイブ,ダイブ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
推し	動詞,自立,*,*,五段・サ行,連用形,推す,オシ,オシ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
弱かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,弱い,ヨワカッ,ヨワカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
EOS
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
バレー	名詞,一般,*,*,*,*,バレー,バレー,バレー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
