ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,i
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,i
円	名詞,接尾,助数詞,*,*,*,円,エン,エン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まぁまぁ	副詞,一般,*,*,*,*,まあまあ,マアマア,マーマー,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まぁまぁ	副詞,一般,*,*,*,*,まあまあ,マアマア,マーマー,s
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
こないだ	名詞,副詞可能・縮約形,*,*,*,*,この間,コナイダ,コナイダ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,s
、	記号,読点,*,*,*,*,、,、,、,s
サンゴ	名詞,一般,*,*,*,*,サンゴ,サンゴ,サンゴ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
靴	名詞,一般,*,*,*,*,靴,クツ,クツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
安い	形容詞,自立,*,*,形容詞・アウオ段,基本形,安い,ヤスイ,ヤスイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
サンゴ	名詞,一般,*,*,*,*,サンゴ,サンゴ,サンゴ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
安い	形容詞,自立,*,*,形容詞・アウオ段,基本形,安い,ヤスイ,ヤスイ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
マーク	名詞,一般,*,*,*,*,マーク,マーク,マーク,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
万	名詞,数,*,*,*,*,万,マン,マン,i
八	名詞,数,*,*,*,*,八,ハチ,ハチ,i
千	名詞,数,*,*,*,*,千,セン,セン,i
円	名詞,接尾,助数詞,*,*,*,円,エン,エン,i
の	助詞,連体化,*,*,*,*,の,ノ,ノ,i
八	名詞,数,*,*,*,*,八,ハチ,ハチ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
％	名詞,接尾,助数詞,*,*,*,％,パーセント,パーセント,i
オフ	名詞,サ変接続,*,*,*,*,オフ,オフ,オフ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
迷っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,迷う,マヨッ,マヨッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
憎たらしい	形容詞,自立,*,*,形容詞・イ段,基本形,憎たらしい,ニクタラシイ,ニクタラシイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
、	記号,読点,*,*,*,*,、,、,、,s
マーク	名詞,一般,*,*,*,*,マーク,マーク,マーク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
服	名詞,一般,*,*,*,*,服,フク,フク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
だって	副詞,一般,*,*,*,*,だって,ダッテ,ダッテ,i
ボロボロ	名詞,一般,*,*,*,*,ボロボロ,ボロボロ,ボロボロ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
靴	名詞,一般,*,*,*,*,靴,クツ,クツ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,i
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
見栄え	名詞,サ変接続,*,*,*,*,見栄え,ミバエ,ミバエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
見栄え	名詞,サ変接続,*,*,*,*,見栄え,ミバエ,ミバエ,i
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ,i
し	助詞,接続助詞,*,*,*,*,し,シ,シ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
靴	名詞,一般,*,*,*,*,靴,クツ,クツ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
試着	名詞,サ変接続,*,*,*,*,試着,シチャク,シチャク,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
お客	名詞,一般,*,*,*,*,お客,オキャク,オキャク,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
、	記号,読点,*,*,*,*,、,、,、,i
しゃがむ	動詞,自立,*,*,五段・マ行,基本形,しゃがむ,シャガム,シャガム,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
恥ずかしい	形容詞,自立,*,*,形容詞・イ段,基本形,恥ずかしい,ハズカシイ,ハズカシイ,i
、	記号,読点,*,*,*,*,、,、,、,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
恥ずかしい	形容詞,自立,*,*,形容詞・イ段,基本形,恥ずかしい,ハズカシイ,ハズカシイ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
可愛い	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
、	記号,読点,*,*,*,*,、,、,、,i
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,i
千	名詞,数,*,*,*,*,千,セン,セン,i
五	名詞,数,*,*,*,*,五,ゴ,ゴ,i
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,i
円	名詞,接尾,助数詞,*,*,*,円,エン,エン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
し	助詞,接続助詞,*,*,*,*,し,シ,シ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
着	動詞,自立,*,*,一段,連用形,着る,キ,キ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
着	動詞,自立,*,*,一段,連用形,着る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
みん	動詞,非自立,*,*,一段撥音便,基本形,みる,ミン,ミン,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
、	記号,読点,*,*,*,*,、,、,、,i
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,i
腕	名詞,一般,*,*,*,*,腕,ウデ,ウデ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
出る	動詞,自立,*,*,一段,基本形,出る,デル,デル,i
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,i
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
カーキ	名詞,一般,*,*,*,*,カーキ,カーキ,カーキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
カーキ	名詞,一般,*,*,*,*,カーキ,カーキ,カーキ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,i
ミュージック	名詞,一般,*,*,*,*,ミュージック,ミュージック,ミュージック,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
うるさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うるさい,ウルサイ,ウルサイ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
大きめ	名詞,形容動詞語幹,*,*,*,*,大きめ,オオキメ,オーキメ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
声	名詞,一般,*,*,*,*,声,コエ,コエ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
よろしく	副詞,一般,*,*,*,*,よろしく,ヨロシク,ヨロシク,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
カーキ	名詞,一般,*,*,*,*,カーキ,カーキ,カーキ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そうか	感動詞,*,*,*,*,*,そうか,ソウカ,ソーカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
黒	名詞,一般,*,*,*,*,黒,クロ,クロ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
スカート	名詞,一般,*,*,*,*,スカート,スカート,スカート,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
、	記号,読点,*,*,*,*,、,、,、,i
夏	名詞,一般,*,*,*,*,夏,ナツ,ナツ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
長い	形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
イン	名詞,一般,*,*,*,*,イン,イン,イン,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
、	記号,読点,*,*,*,*,、,、,、,s
イン	名詞,一般,*,*,*,*,イン,イン,イン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
、	記号,読点,*,*,*,*,、,、,、,i
後ろ	名詞,一般,*,*,*,*,後ろ,ウシロ,ウシロ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
長い	形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,i
で	助詞,終助詞,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,i
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,i
いれ	動詞,自立,*,*,一段,連用形,いれる,イレ,イレ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
で	助詞,終助詞,*,*,*,*,で,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
紺	名詞,一般,*,*,*,*,紺,コン,コン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
欲しい	形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
下	名詞,一般,*,*,*,*,下,シタ,シタ,i
黒	名詞,一般,*,*,*,*,黒,クロ,クロ,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ううん	感動詞,*,*,*,*,*,ううん,ウウン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
白	名詞,一般,*,*,*,*,白,シロ,シロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
白	名詞,一般,*,*,*,*,白,シロ,シロ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
服	名詞,一般,*,*,*,*,服,フク,フク,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
服	名詞,一般,*,*,*,*,服,フク,フク,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,i
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,i
イン	名詞,一般,*,*,*,*,イン,イン,イン,i
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,i
し	助詞,接続助詞,*,*,*,*,し,シ,シ,i
、	記号,読点,*,*,*,*,、,、,、,i
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
こないだ	名詞,副詞可能・縮約形,*,*,*,*,この間,コナイダ,コナイダ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,s
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
やめ	動詞,自立,*,*,一段,連用形,やめる,ヤメ,ヤメ,i
とき	動詞,非自立,*,*,五段・カ行イ音便,命令k・縮約形,て＋おく,トキ,トキ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
可愛い	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
無理	名詞,形容動詞語幹,*,*,*,*,無理,ムリ,ムリ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
スカーフ	名詞,一般,*,*,*,*,スカーフ,スカーフ,スカーフ,i
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,i
、	記号,読点,*,*,*,*,、,、,、,i
マイ	名詞,固有名詞,人名,名,*,*,マイ,マイ,マイ,i
、	記号,読点,*,*,*,*,、,、,、,i
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あげよ	動詞,自立,*,*,一段,未然ウ接続,あげる,アゲヨ,アゲヨ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
さし	動詞,接尾,*,*,五段・サ行,連用形,さす,サシ,サシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
押さ	動詞,自立,*,*,五段・サ行,未然形,押す,オサ,オサ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
とい	動詞,非自立,*,*,五段・カ行イ音便,連用タ接続・縮約形,て＋おく,トイ,トイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うるさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うるさい,ウルサイ,ウルサイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,i
、	記号,読点,*,*,*,*,、,、,、,i
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,s
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
ママ	名詞,一般,*,*,*,*,ママ,ママ,ママ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
服	名詞,一般,*,*,*,*,服,フク,フク,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
最近	名詞,副詞可能,*,*,*,*,最近,サイキン,サイキン,i
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
腕	名詞,一般,*,*,*,*,腕,ウデ,ウデ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
長	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,長い,ナガ,ナガ,s
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
こっち	名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ,s
半袖	名詞,一般,*,*,*,*,半袖,ハンソデ,ハンソデ,s
バージョン	名詞,一般,*,*,*,*,バージョン,バージョン,バージョン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
安い	形容詞,自立,*,*,形容詞・アウオ段,基本形,安い,ヤスイ,ヤスイ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
