始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ちょっとした	連体詞,*,*,*,*,*,ちょっとした,チョットシタ,チョットシタ,s
諍い	名詞,サ変接続,*,*,*,*,諍い,イサカイ,イサカイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
歌	名詞,一般,*,*,*,*,歌,ウタ,ウタ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
上手	名詞,形容動詞語幹,*,*,*,*,上手,ジョウズ,ジョーズ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
星名	名詞,固有名詞,人名,姓,*,*,星名,ホシナ,ホシナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
合唱	名詞,サ変接続,*,*,*,*,合唱,ガッショウ,ガッショー,s
コンクール	名詞,一般,*,*,*,*,コンクール,コンクール,コンクール,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ソロ	名詞,一般,*,*,*,*,ソロ,ソロ,ソロ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
やり	動詞,自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ,s
たかっ	助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカッ,タカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
歌	名詞,一般,*,*,*,*,歌,ウタ,ウタ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
下手くそ	名詞,形容動詞語幹,*,*,*,*,下手くそ,ヘタクソ,ヘタクソ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
美月	名詞,固有名詞,人名,名,*,*,美月,ミヅキ,ミズキ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
立候補	名詞,サ変接続,*,*,*,*,立候補,リッコウホ,リッコーホ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ちゃっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,ちゃう,チャッ,チャッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やら	動詞,自立,*,*,五段・ラ行,未然形,やる,ヤラ,ヤラ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
もっと	副詞,一般,*,*,*,*,もっと,モット,モット,s
上手	名詞,形容動詞語幹,*,*,*,*,上手,ジョウズ,ジョーズ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
星名	名詞,固有名詞,人名,姓,*,*,星名,ホシナ,ホシナ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
美月	名詞,固有名詞,人名,名,*,*,美月,ミヅキ,ミズキ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
美月	名詞,固有名詞,人名,名,*,*,美月,ミヅキ,ミズキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
凄い	副詞,一般,*,*,*,*,凄い,スゴイ,スゴイ,s
泣い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,泣く,ナイ,ナイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
行く	動詞,非自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
実は	接続詞,*,*,*,*,*,実は,ジツハ,ジツワ,s
美月	名詞,固有名詞,人名,名,*,*,美月,ミヅキ,ミズキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
合唱	名詞,サ変接続,*,*,*,*,合唱,ガッショウ,ガッショー,s
コンクール	名詞,一般,*,*,*,*,コンクール,コンクール,コンクール,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
使う	動詞,自立,*,*,五段・ワ行促音便,基本形,使う,ツカウ,ツカウ,s
曲	名詞,一般,*,*,*,*,曲,キョク,キョク,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
凄い	副詞,一般,*,*,*,*,凄い,スゴイ,スゴイ,s
思い入れ	名詞,一般,*,*,*,*,思い入れ,オモイイレ,オモイイレ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
、	記号,読点,*,*,*,*,、,、,、,s
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
色々	副詞,助詞類接続,*,*,*,*,色々,イロイロ,イロイロ,s
事情	名詞,一般,*,*,*,*,事情,ジジョウ,ジジョー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
絶交	名詞,サ変接続,*,*,*,*,絶交,ゼッコウ,ゼッコー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
歌っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,歌う,ウタッ,ウタッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
思い出	名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
曲	名詞,一般,*,*,*,*,曲,キョク,キョク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ソロ	名詞,一般,*,*,*,*,ソロ,ソロ,ソロ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
歌い	動詞,自立,*,*,五段・ワ行促音便,連用形,歌う,ウタイ,ウタイ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
風	名詞,一般,*,*,*,*,風,カゼ,カゼ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
思い	名詞,一般,*,*,*,*,思い,オモイ,オモイ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
知っ	動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
星名	名詞,固有名詞,人名,姓,*,*,星名,ホシナ,ホシナ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
仕方	名詞,ナイ形容詞語幹,*,*,*,*,仕方,シカタ,シカタ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
渋々	副詞,一般,*,*,*,*,渋々,シブシブ,シブシブ,s
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
承知	名詞,サ変接続,*,*,*,*,承知,ショウチ,ショーチ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,s
、	記号,読点,*,*,*,*,、,、,、,s
代わり	名詞,一般,*,*,*,*,代わり,カワリ,カワリ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
歌	名詞,一般,*,*,*,*,歌,ウタ,ウタ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ちゃんと	副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,s
歌お	動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,歌う,ウタオ,ウタオ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
友情	名詞,一般,*,*,*,*,友情,ユウジョウ,ユージョー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
確認	名詞,サ変接続,*,*,*,*,確認,カクニン,カクニン,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
綺麗	名詞,形容動詞語幹,*,*,*,*,綺麗,キレイ,キレイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
友情	名詞,一般,*,*,*,*,友情,ユウジョウ,ユージョー,i
ストーリー	名詞,一般,*,*,*,*,ストーリー,ストーリー,ストーリー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
ストーリー	名詞,一般,*,*,*,*,ストーリー,ストーリー,ストーリー,s
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
おっきい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おっきい,オッキイ,オッキイ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
初め	動詞,自立,*,*,一段,連用形,初める,ソメ,ソメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
台	名詞,一般,*,*,*,*,台,ダイ,ダイ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
上演	名詞,サ変接続,*,*,*,*,上演,ジョウエン,ジョーエン,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
台本	名詞,一般,*,*,*,*,台本,ダイホン,ダイホン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
台本	名詞,一般,*,*,*,*,台本,ダイホン,ダイホン,s
出し	動詞,非自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク,s
ものすごい	副詞,一般,*,*,*,*,ものすごい,モノスゴイ,モノスゴイ,s
出し	動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
かすり	動詞,自立,*,*,五段・ラ行,連用形,かする,カスリ,カスリ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,s
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
初め	動詞,自立,*,*,一段,連用形,初める,ソメ,ソメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
上演	名詞,サ変接続,*,*,*,*,上演,ジョウエン,ジョーエン,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
しかも	接続詞,*,*,*,*,*,しかも,シカモ,シカモ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
実際	名詞,一般,*,*,*,*,実際,ジッサイ,ジッサイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
賞	名詞,一般,*,*,*,*,賞,ショウ,ショー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
優秀	名詞,形容動詞語幹,*,*,*,*,優秀,ユウシュウ,ユーシュー,s
賞	名詞,一般,*,*,*,*,賞,ショウ,ショー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
強く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,強い,ツヨク,ツヨク,s
、	記号,読点,*,*,*,*,、,、,、,s
高く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,高い,タカク,タカク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
取れ	動詞,自立,*,*,一段,連用形,取れる,トレ,トレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
中学	名詞,一般,*,*,*,*,中学,チュウガク,チューガク,s
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
強かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,強い,ツヨカッ,ツヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
松原	名詞,一般,*,*,*,*,松原,マツバラ,マツバラ,s
第	接頭詞,名詞接続,*,*,*,*,第,ダイ,ダイ,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
、	記号,読点,*,*,*,*,、,、,、,s
松原	名詞,一般,*,*,*,*,松原,マツバラ,マツバラ,s
第	接頭詞,名詞接続,*,*,*,*,第,ダイ,ダイ,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いきなり	副詞,助詞類接続,*,*,*,*,いきなり,イキナリ,イキナリ,s
、	記号,読点,*,*,*,*,、,、,、,s
上映	名詞,サ変接続,*,*,*,*,上映,ジョウエイ,ジョーエイ,s
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
走り	名詞,一般,*,*,*,*,走り,ハシリ,ハシリ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
走り	動詞,自立,*,*,五段・ラ行,連用形,走る,ハシリ,ハシリ,s
寄っ	動詞,自立,*,*,五段・ラ行,連用タ接続,寄る,ヨッ,ヨッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
そっち	名詞,代名詞,一般,*,*,*,そっち,ソッチ,ソッチ,s
清教学園	名詞,固有名詞,組織,*,*,*,清教学園,セイキョウガクエン,セイキョーガクエン,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
