それでは	接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
稼ぐ	動詞,自立,*,*,五段・ガ行,基本形,稼ぐ,カセグ,カセグ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
こういう	連体詞,*,*,*,*,*,こういう,コウイウ,コーユウ,s
風	名詞,非自立,形容動詞語幹,*,*,*,風,フウ,フー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
物件	名詞,一般,*,*,*,*,物件,ブッケン,ブッケン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
配当	名詞,サ変接続,*,*,*,*,配当,ハイトウ,ハイトー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
配当	名詞,サ変接続,*,*,*,*,配当,ハイトウ,ハイトー,s
つ	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ツ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
上がっ	動詞,自立,*,*,五段・ラ行,連用タ接続,上がる,アガッ,アガッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
上がっ	動詞,自立,*,*,五段・ラ行,連用タ接続,上がる,アガッ,アガッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
分	名詞,副詞可能,*,*,*,*,分,ブン,ブン,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
、	記号,読点,*,*,*,*,、,、,、,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
儲け	動詞,自立,*,*,一段,連用形,儲ける,モウケ,モーケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
つう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ツー,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
株	名詞,一般,*,*,*,*,株,カブ,カブ,i
、	記号,読点,*,*,*,*,、,、,、,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
証券	名詞,一般,*,*,*,*,証券,ショウケン,ショーケン,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
銀行	名詞,一般,*,*,*,*,銀行,ギンコウ,ギンコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
銀行	名詞,一般,*,*,*,*,銀行,ギンコウ,ギンコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
極端	名詞,一般,*,*,*,*,極端,キョクタン,キョクタン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
預け	動詞,自立,*,*,一段,連用形,預ける,アヅケ,アズケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,もらう,モウ,モー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
金	名詞,一般,*,*,*,*,金,キン,キン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
余所	名詞,一般,*,*,*,*,余所,ヨソ,ヨソ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
貸し	動詞,自立,*,*,五段・サ行,連用形,貸す,カシ,カシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
差額	名詞,一般,*,*,*,*,差額,サガク,サガク,s
、	記号,読点,*,*,*,*,、,、,、,s
利子	名詞,一般,*,*,*,*,利子,リシ,リシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
差額	名詞,一般,*,*,*,*,差額,サガク,サガク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
儲け	動詞,自立,*,*,一段,連用形,儲ける,モウケ,モーケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
っ	助詞,格助詞・縮約形,連語,*,*,*,って,ッ,ッ,s
つ	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ツ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
融資	名詞,サ変接続,*,*,*,*,融資,ユウシ,ユーシ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
運用	名詞,サ変接続,*,*,*,*,運用,ウンヨウ,ウンヨー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
株式	名詞,一般,*,*,*,*,株式,カブシキ,カブシキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
国債	名詞,一般,*,*,*,*,国債,コクサイ,コクサイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
運用	名詞,サ変接続,*,*,*,*,運用,ウンヨウ,ウンヨー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
銀行	名詞,一般,*,*,*,*,銀行,ギンコウ,ギンコー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
決める	動詞,自立,*,*,一段,基本形,決める,キメル,キメル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
万	名詞,数,*,*,*,*,万,マン,マン,s
円	名詞,接尾,助数詞,*,*,*,円,エン,エン,s
貯金	名詞,サ変接続,*,*,*,*,貯金,チョキン,チョキン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
もう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続・縮約形,もらう,モウ,モー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
次	名詞,一般,*,*,*,*,次,ツギ,ツギ,s
今や	副詞,一般,*,*,*,*,今や,イマヤ,イマヤ,s
利子	名詞,一般,*,*,*,*,利子,リシ,リシ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
微々たる	連体詞,*,*,*,*,*,微々たる,ビビタル,ビビタル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
パーセント	名詞,接尾,助数詞,*,*,*,パーセント,パーセント,パーセント,s
やら	助詞,並立助詞,*,*,*,*,やら,ヤラ,ヤラ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
パーセント	名詞,接尾,助数詞,*,*,*,パーセント,パーセント,パーセント,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
万	名詞,数,*,*,*,*,万,マン,マン,s
円	名詞,接尾,助数詞,*,*,*,円,エン,エン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
貸し	動詞,自立,*,*,五段・サ行,連用形,貸す,カシ,カシ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
差額	名詞,一般,*,*,*,*,差額,サガク,サガク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
積み重ね	動詞,自立,*,*,一段,連用形,積み重ねる,ツミカサネ,ツミカサネ,s
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
銀行	名詞,一般,*,*,*,*,銀行,ギンコウ,ギンコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
基本	名詞,一般,*,*,*,*,基本,キホン,キホン,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
儲け	名詞,一般,*,*,*,*,儲け,モウケ,モーケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
定期	名詞,一般,*,*,*,*,定期,テイキ,テイキ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
け	助詞,終助詞,*,*,*,*,け,ケ,ケ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
金利	名詞,一般,*,*,*,*,金利,キンリ,キンリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
け	助詞,終助詞,*,*,*,*,け,ケ,ケ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
こういう	連体詞,*,*,*,*,*,こういう,コウイウ,コーユウ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
物件	名詞,一般,*,*,*,*,物件,ブッケン,ブッケン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
出来	動詞,自立,*,*,一段,連用形,出来る,デキ,デキ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
大きい	形容詞,自立,*,*,形容詞・イ段,基本形,大きい,オオキイ,オーキイ,s
、	記号,読点,*,*,*,*,、,、,、,s
企業	名詞,一般,*,*,*,*,企業,キギョウ,キギョー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
預け	動詞,自立,*,*,一段,連用形,預ける,アヅケ,アズケ,s
とく	動詞,非自立,*,*,五段・カ行イ音便,基本形・縮約形,て＋おく,トク,トク,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
のう	助動詞,*,*,*,特殊・ナイウ音便,連用テ接続,ない,ノウ,ノー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
利子	名詞,一般,*,*,*,*,利子,リシ,リシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
多かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,多い,オオカッ,オーカッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
儲け	名詞,一般,*,*,*,*,儲け,モウケ,モーケ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
ふう	名詞,一般,*,*,*,*,ふう,フウ,フー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
後	名詞,副詞可能,*,*,*,*,後,アト,アト,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
金持ち	名詞,一般,*,*,*,*,金持ち,カネモチ,カネモチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
出資	名詞,サ変接続,*,*,*,*,出資,シュッシ,シュッシ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
国債	名詞,一般,*,*,*,*,国債,コクサイ,コクサイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
国債	名詞,一般,*,*,*,*,国債,コクサイ,コクサイ,s
買う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,買う,コウ,コー,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
株	名詞,一般,*,*,*,*,株,カブ,カブ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
株	名詞,一般,*,*,*,*,株,カブ,カブ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
買う	動詞,自立,*,*,五段・ワ行促音便,基本形,買う,カウ,カウ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
ふう	名詞,一般,*,*,*,*,ふう,フウ,フー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
すん	動詞,自立,*,*,サ変・スル撥音便,基本形,する,スン,スン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
結局	名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク,s
、	記号,読点,*,*,*,*,、,、,、,s
世界中	名詞,一般,*,*,*,*,世界中,セカイジュウ,セカイジュー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
支店	名詞,一般,*,*,*,*,支店,シテン,シテン,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
飛ばさ	動詞,自立,*,*,五段・サ行,未然形,飛ばす,トバサ,トバサ,s
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
分から	動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
確かに	感動詞,*,*,*,*,*,確かに,タシカニ,タシカニ,i
、	記号,読点,*,*,*,*,、,、,、,i
