え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
インドネシア	名詞,固有名詞,地域,国,*,*,インドネシア,インドネシア,インドネシア,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
出し	動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
近い	形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
インドネシア	名詞,固有名詞,地域,国,*,*,インドネシア,インドネシア,インドネシア,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
カナダ	名詞,固有名詞,地域,国,*,*,カナダ,カナダ,カナダ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あちこち	名詞,代名詞,一般,*,*,*,あちこち,アチコチ,アチコチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
カナダ	名詞,固有名詞,地域,国,*,*,カナダ,カナダ,カナダ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
イタリア	名詞,固有名詞,地域,国,*,*,イタリア,イタリア,イタリア,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,s
、	記号,読点,*,*,*,*,、,、,、,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
飲ま	動詞,自立,*,*,五段・マ行,未然形,飲む,ノマ,ノマ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
飲ま	動詞,自立,*,*,五段・マ行,未然形,飲む,ノマ,ノマ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
洋酒	名詞,一般,*,*,*,*,洋酒,ヨウシュ,ヨーシュ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
洋酒	名詞,一般,*,*,*,*,洋酒,ヨウシュ,ヨーシュ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ブランデー	名詞,一般,*,*,*,*,ブランデー,ブランデー,ブランデー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
ようけ	副詞,一般,*,*,*,*,ようけ,ヨウケ,ヨーケ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
や	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤ,ヤ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
並ん	動詞,自立,*,*,五段・バ行,連用タ接続,並ぶ,ナラン,ナラン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
でっかい	形容詞,自立,*,*,形容詞・アウオ段,基本形,でっかい,デッカイ,デッカイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,i
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
、	記号,読点,*,*,*,*,、,、,、,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナン,ナン,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
一個	名詞,一般,*,*,*,*,一個,イッコ,イッコ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
飲め	動詞,自立,*,*,一段,未然形,飲める,ノメ,ノメ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
飲ま	動詞,自立,*,*,五段・マ行,未然形,飲む,ノマ,ノマ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
置い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほいで	接続詞,*,*,*,*,*,ほいで,ホイデ,ホイデ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
空	名詞,一般,*,*,*,*,空,ソラ,ソラ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
置い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,置く,オイ,オイ,s
とく	動詞,非自立,*,*,五段・カ行イ音便,基本形・縮約形,て＋おく,トク,トク,s
、	記号,読点,*,*,*,*,、,、,、,s
当たり前	名詞,形容動詞語幹,*,*,*,*,当たり前,アタリマエ,アタリマエ,s
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
空	名詞,一般,*,*,*,*,空,カラ,カラ,i
瓶	名詞,接尾,助数詞,*,*,*,瓶,ビン,ビン,i
集め	動詞,自立,*,*,一段,連用形,集める,アツメ,アツメ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
なな	名詞,固有名詞,人名,名,*,*,なな,ナナ,ナナ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
長男	名詞,一般,*,*,*,*,長男,チョウナン,チョーナン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
飲む	動詞,自立,*,*,五段・マ行,基本形,飲む,ノム,ノム,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
遊び	名詞,一般,*,*,*,*,遊び,アソビ,アソビ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
でしょ	助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ブランデー	名詞,一般,*,*,*,*,ブランデー,ブランデー,ブランデー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,i
瓶	名詞,一般,*,*,*,*,瓶,ビン,ビン,i
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
知っ	動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほいで	接続詞,*,*,*,*,*,ほいで,ホイデ,ホイデ,s
、	記号,読点,*,*,*,*,、,、,、,s
大工	名詞,一般,*,*,*,*,大工,ダイク,ダイク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あげ	動詞,自立,*,*,一段,連用形,あげる,アゲ,アゲ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ここ	名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
大工	名詞,一般,*,*,*,*,大工,ダイク,ダイク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
やー	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤア,ヤー,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんな	連体詞,*,*,*,*,*,ほんな,ホンナ,ホンナ,s
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
よー	助詞,終助詞,*,*,*,*,よー,ヨー,ヨー,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
飲ま	動詞,自立,*,*,五段・マ行,未然形,飲む,ノマ,ノマ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
買う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,買う,コウ,コー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
来	動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,i
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,i
良かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
良かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
