まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
、	記号,読点,*,*,*,*,、,、,、,i
「	記号,括弧開,*,*,*,*,「,「,「,i
うるさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うるさい,ウルサイ,ウルサイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
、	記号,読点,*,*,*,*,、,、,、,i
鳴き声	名詞,一般,*,*,*,*,鳴き声,ナキゴエ,ナキゴエ,i
」	記号,括弧閉,*,*,*,*,」,」,」,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うるさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うるさい,ウルサイ,ウルサイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
仕方ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,仕方ない,シカタナイ,シカタナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
主に	副詞,一般,*,*,*,*,主に,オモニ,オモニ,i
飼う	動詞,自立,*,*,五段・ワ行促音便,基本形,飼う,カウ,カウ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
連れ	動詞,自立,*,*,一段,連用形,連れる,ツレ,ツレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
散歩	名詞,サ変接続,*,*,*,*,散歩,サンポ,サンポ,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,s
派	名詞,接尾,助数詞,*,*,*,派,ハ,ハ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
女の子	名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
知っ	動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
女の子	名詞,一般,*,*,*,*,女の子,オンナノコ,オンナノコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,s
派	名詞,接尾,助数詞,*,*,*,派,ハ,ハ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,i
派	名詞,接尾,助数詞,*,*,*,派,ハ,ハ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
。	記号,句点,*,*,*,*,。,。,。,s
EOS
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,i
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
人気	名詞,一般,*,*,*,*,人気,ニンキ,ニンキ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
人気	名詞,一般,*,*,*,*,人気,ニンキ,ニンキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ,s
品種	名詞,一般,*,*,*,*,品種,ヒンシュ,ヒンシュ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
飼っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,飼う,カッ,カッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
プードル	名詞,一般,*,*,*,*,プードル,プードル,プードル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
可愛く	形容詞,自立,*,*,形容詞・イ段,連用テ接続,可愛い,カワイク,カワイク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
トイプードル	名詞,一般,*,*,*,*,トイプードル,トイプードル,トイプードル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
トイプードル	名詞,一般,*,*,*,*,トイプードル,トイプードル,トイプードル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
トイプードル	名詞,一般,*,*,*,*,トイプードル,トイプードル,トイプードル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
可愛い	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
癒し	動詞,自立,*,*,五段・サ行,連用形,癒す,イヤシ,イヤシ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
癒し	動詞,自立,*,*,五段・サ行,連用形,癒す,イヤシ,イヤシ,s
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
、	記号,読点,*,*,*,*,、,、,、,i
癒し	動詞,自立,*,*,五段・サ行,連用形,癒す,イヤシ,イヤシ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ペット	名詞,一般,*,*,*,*,ペット,ペット,ペット,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
犬	名詞,一般,*,*,*,*,犬,イヌ,イヌ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,i
動物	名詞,一般,*,*,*,*,動物,ドウブツ,ドーブツ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
、	記号,読点,*,*,*,*,、,、,、,s
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,s
派	名詞,接尾,助数詞,*,*,*,派,ハ,ハ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,s
喫茶	名詞,一般,*,*,*,*,喫茶,キッサ,キッサ,s
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まじ	名詞,形容動詞語幹,*,*,*,*,まじ,マジ,マジ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
喫茶	名詞,一般,*,*,*,*,喫茶,キッサ,キッサ,i
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
抱きしめよ	動詞,自立,*,*,一段,未然ウ接続,抱きしめる,ダキシメヨ,ダキシメヨ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
すぐ	副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,s
逃げる	動詞,自立,*,*,一段,基本形,逃げる,ニゲル,ニゲル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
近づけ	動詞,自立,*,*,一段,未然形,近づける,チカヅケ,チカズケ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
喫茶	名詞,一般,*,*,*,*,喫茶,キッサ,キッサ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
悲しい	形容詞,自立,*,*,形容詞・イ段,基本形,悲しい,カナシイ,カナシイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
マンチカン	名詞,一般,*,*,*,*,マンチカン,マンチカン,マンチカン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ,i
わかる	動詞,自立,*,*,五段・ラ行,基本形,わかる,ワカル,ワカル,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
マンチカン	名詞,一般,*,*,*,*,マンチカン,マンチカン,マンチカン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
、	記号,読点,*,*,*,*,、,、,、,i
マンチカン	名詞,一般,*,*,*,*,マンチカン,マンチカン,マンチカン,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
種類	名詞,一般,*,*,*,*,種類,シュルイ,シュルイ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
人気	名詞,一般,*,*,*,*,人気,ニンキ,ニンキ,i
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
色	名詞,接尾,助数詞,*,*,*,色,ショク,ショク,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
グレー	名詞,一般,*,*,*,*,グレー,グレー,グレー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
グレー	名詞,一般,*,*,*,*,グレー,グレー,グレー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
、	記号,読点,*,*,*,*,、,、,、,i
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
派	名詞,接尾,一般,*,*,*,派,ハ,ハ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もふもふ	副詞,一般,*,*,*,*,もふもふ,モフモフ,モフモフ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,i
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
猫	名詞,一般,*,*,*,*,猫,ネコ,ネコ,i
夜	名詞,接尾,助数詞,*,*,*,夜,ヤ,ヤ,i
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
目	名詞,一般,*,*,*,*,目,メ,メ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
光っ	動詞,自立,*,*,五段・ラ行,連用タ接続,光る,ヒカッ,ヒカッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
怖い	形容詞,自立,*,*,形容詞・アウオ段,基本形,怖い,コワイ,コワイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,i
ちゃう	動詞,非自立,*,*,五段・ワ行促音便,基本形,ちゃう,チャウ,チャウ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
光っ	動詞,自立,*,*,五段・ラ行,連用タ接続,光る,ヒカッ,ヒカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ,s
飼っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,飼う,カッ,カッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
そっか	感動詞,*,*,*,*,*,そっか,ソッカ,ソッカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
女優	名詞,一般,*,*,*,*,女優,ジョユウ,ジョユー,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
芸能人	名詞,一般,*,*,*,*,芸能人,ゲイノウジン,ゲイノージン,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
堺	名詞,固有名詞,人名,名,*,*,堺,堺,堺,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
堺	名詞,固有名詞,人名,名,*,*,堺,堺,堺,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
、	記号,読点,*,*,*,*,、,、,、,i
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
半沢	名詞,固有名詞,人名,姓,*,*,半沢,ハンザワ,ハンザワ,s
直樹	名詞,固有名詞,人名,名,*,*,直樹,ナオキ,ナオキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まさかの	連体詞,*,*,*,*,*,まさかの,マサカノ,マサカノ,i
男	名詞,一般,*,*,*,*,男,オトコ,オトコ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
堺	名詞,固有名詞,人名,名,*,*,堺,堺,堺,i
雅人	名詞,固有名詞,人名,名,*,*,雅人,雅人,雅人,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
