つ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ツ,ツ
合う	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,合う,オウ,オー
釣り上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,釣り上がる,ツリアゴウ,ツリアゴー
よっぱろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,よっぱらう,ヨウパロウ,ヨウパロー
さぐう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さぐる,サグウ,サグー
犒う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,犒う,ネギロウ,ネギロー
すしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すさる,スシヨウ,スシヨー
ねじおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ねじあう,ネジオウ,ネジオー
震えあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,震えあがる,フルエアゴウ,フルエアゴー
しめ切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しめ切る,シメキウ,シメキー
よわもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,よわまる,ヨワモウ,ヨワモー
どもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,どもる,ドモウ,ドモー
しもう	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,しまう,シモウ,シモー
交う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,交う,コウ,コー
息せき切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,息せき切る,イキセキキウ,イキセキキー
おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おる,オウ,オー
かさぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かさばる,カサボウ,カサボー
冴えわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,冴えわたる,サエワトウ,サエワトー
打ちはろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,打ちはらう,ウチハロウ,ウチハロー
たよう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たよる,タヨウ,タヨー
出おう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,出あう,デオウ,デオー
四角張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,四角張る,シカクボウ,シカクボー
からこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,からかう,カラコウ,カラコー
どのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,どなる,ドノウ,ドノー
上う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,上る,ノボウ,ノボー
奮い立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,奮い立つ,フルイトウ,フルイトー
巡り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,巡り合う,メグリオウ,メグリオー
もたれ掛こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もたれ掛かる,モタレカコウ,モタレカコー
そう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,そる,ソウ,ソー
こぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こぎる,コギウ,コギー
かきとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かきとる,カキトウ,カキトー
育う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,育つ,ソドウ,ソドー
あいうう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,あいうつ,アイウウ,アイウー
炊あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,炊あがる,タキアゴウ,タキアゴー
のめう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のめる,ノメウ,ノメー
落う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,落つ,オウ,オー
迫う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,迫る,セモウ,セモー
見限う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見限る,ミカギウ,ミカギー
巣篭う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,巣篭る,スゴモウ,スゴモー
煩う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,煩う,ワズロウ,ワズロー
間におう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,間にあう,マニオウ,マニオー
抜き放う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,抜き放つ,ヌキハノウ,ヌキハノー
偽う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,偽る,イツオウ,イツオー
垂さごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,垂さがる,タレサゴウ,タレサゴー
想う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,想う,オモウ,オモー
奢う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,奢る,オゴウ,オゴー
寄り切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,寄り切る,ヨリキウ,ヨリキー
突っかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突っかかる,ツウカコウ,ツウカコー
つらのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つらなる,ツラノウ,ツラノー
むさぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,むさぼる,ムサボウ,ムサボー
付随う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,付随う,ツキシタゴウ,ツキシタゴー
賑おう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,賑わう,ニギオウ,ニギオー
あまがけう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あまがける,アマガケウ,アマガケー
切羽詰もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,切羽詰まる,セウパツモウ,セウパツモー
食切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,食切る,クイキウ,クイキー
給う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,給う,タモウ,タモー
のしあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のしあがる,ノシアゴウ,ノシアゴー
叶う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,叶う,カノウ,カノー
つたおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つたわる,ツタオウ,ツタオー
あやどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あやどる,アヤドウ,アヤドー
さしせもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さしせまる,サシセモウ,サシセモー
追い使う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,追い使う,オイツコウ,オイツコー
流行う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,流行る,ハヤウ,ハヤー
浸こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,浸かる,ツコウ,ツコー
おくもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おくまる,オクモウ,オクモー
とりそろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,とりそろう,トリソロウ,トリソロー
蟠う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,蟠る,ワダカモウ,ワダカモー
峙う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,峙つ,ソバドウ,ソバドー
いぶこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いぶかる,イブコウ,イブコー
しぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しぼる,シボウ,シボー
立ち寄う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立ち寄る,タチヨウ,タチヨー
塗りたくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,塗りたくる,ヌリタクウ,ヌリタクー
入れ替う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入れ替る,イレカオウ,イレカオー
売う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,売る,ウウ,ウー
乗り掛こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,乗り掛かる,ノリカコウ,ノリカコー
羞じろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,羞じらう,ハジロウ,ハジロー
みおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,みあう,ミオウ,ミオー
出張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出張る,デボウ,デボー
すもう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,すまう,スモウ,スモー
沸き上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,沸き上がる,ワキアゴウ,ワキアゴー
歩き回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,歩き回る,アルキマオウ,アルキマオー
ぬぐう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ぬぐう,ヌグウ,ヌグー
血走う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,血走る,チバシウ,チバシー
煉う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,煉る,ネウ,ネー
目盛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,目盛る,メモウ,メモー
死にそこのう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,死にそこなう,シニソコノウ,シニソコノー
やう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,やる,ヤウ,ヤー
飛び掛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛び掛る,トビカコウ,トビカコー
いいあらそう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いいあらそう,イイアラソウ,イーアラソー
すべくくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すべくくる,スベククウ,スベククー
掴みおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,掴みあう,ツカミオウ,ツカミオー
堪う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,堪る,タモウ,タモー
なりとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,なりたつ,ナリトウ,ナリトー
思いあとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,思いあたる,オモイアトウ,オモイアトー
あやつう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あやつる,アヤツウ,アヤツー
責め合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,責め合う,セメオウ,セメオー
巡り会う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,巡り会う,メグリオウ,メグリオー
ひっかぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひっかぶる,ヒウカブウ,ヒウカブー
疑う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,疑う,ウタゴウ,ウタゴー
唄う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,唄う,ウトウ,ウトー
掴もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掴まる,ツカモウ,ツカモー
なりあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なりあがる,ナリアゴウ,ナリアゴー
弱もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,弱まる,ヨワモウ,ヨワモー
取り縋う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,取り縋る,トリスゴウ,トリスゴー
収もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,収まる,オサモウ,オサモー
亙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,亙る,ワトウ,ワトー
すべう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すべる,スベウ,スベー
がのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,がなる,ガノウ,ガノー
見遣う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見遣る,ミヤウ,ミヤー
かけめぐう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かけめぐる,カケメグウ,カケメグー
つっかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つっかかる,ツウカコウ,ツウカコー
負ぶしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,負ぶさる,オブシヨウ,オブシヨー
聞き取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,聞き取る,キキトウ,キキトー
表立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,表立つ,オモテドウ,オモテドー
見張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見張る,ミホウ,ミホー
差昇う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,差昇る,サシノボウ,サシノボー
言切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,言切る,イイキウ,イーキー
出で立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,出で立つ,イデトウ,イデトー
ぶつこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぶつかる,ブツコウ,ブツコー
ふせう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふせる,フセウ,フセー
逆ろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,逆らう,サカロウ,サカロー
閉め切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,閉め切る,シメキウ,シメキー
患う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,患う,ワズロウ,ワズロー
漁う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,漁る,アシヨウ,アシヨー
漁う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,漁る,スナドウ,スナドー
いろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いらう,イロウ,イロー
通りかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,通りかかる,トオリカコウ,トーリカコー
しのう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,しなう,シノウ,シノー
押つもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,押つまる,オシツモウ,オシツモー
さいばしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さいばしる,サイバシウ,サイバシー
振放う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,振放つ,フリハノウ,フリハノー
揺すぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,揺すぶる,ユスブウ,ユスブー
かよう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かよう,カヨウ,カヨー
うけもう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,うけもつ,ウケモウ,ウケモー
渡う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,渡る,ワトウ,ワトー
さきほこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さきほこる,サキホコウ,サキホコー
引き立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,引き立つ,ヒキトウ,ヒキトー
召し捕う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,召し捕る,メシトウ,メシトー
通う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,通る,トオウ,トーー
狂う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,狂う,クルウ,クルー
住もう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,住まう,スモウ,スモー
引払う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,引払う,ヒキハロウ,ヒキハロー
はやう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はやる,ハヤウ,ハヤー
踞う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,踞る,ウズクモウ,ウズクモー
染あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,染あがる,ソメアゴウ,ソメアゴー
たちもどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たちもどる,タチモドウ,タチモドー
克う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,克つ,コウ,コー
咳き入う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,咳き入る,セキイウ,セキイー
ひきとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひきとる,ヒキトウ,ヒキトー
静もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,静まる,シズモウ,シズモー
隣合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,隣合う,トナリオウ,トナリオー
居坐う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,居坐る,イスオウ,イスオー
報う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,報う,ムクウ,ムクー
はさみきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はさみきる,ハサミキウ,ハサミキー
治う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,治る,ナオウ,ナオー
そばどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,そばだつ,ソバドウ,ソバドー
まつおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まつわる,マツオウ,マツオー
煮え滾う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,煮え滾る,ニエタギウ,ニエタギー
翳う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,翳る,カゲウ,カゲー
つっぱしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つっぱしる,ツウパシウ,ツウパシー
かどどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,かどだつ,カドドウ,カドドー
きしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きしる,キシウ,キシー
立てこもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立てこもる,タテコモウ,タテコモー
聞損のう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,聞損なう,キキソコノウ,キキソコノー
読み耽う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,読み耽る,ヨミフケウ,ヨミフケー
滾う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,滾つ,タギウ,タギー
熱う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,熱る,ホテウ,ホテー
たずさおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たずさわる,タズサオウ,タズサオー
きなしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きなさる,キナシヨウ,キナシヨー
たれさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たれさがる,タレサゴウ,タレサゴー
吹きまくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,吹きまくる,フキマクウ,フキマクー
へし折う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,へし折る,ヘシオウ,ヘシオー
張り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,張り合う,ハリオウ,ハリオー
住み替う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,住み替る,スミカオウ,スミカオー
舞戻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,舞戻る,マイモドウ,マイモドー
整う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,整う,トトノウ,トトノー
呵う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,呵る,シコウ,シコー
だまりこくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,だまりこくる,ダマリコクウ,ダマリコクー
ほてう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほてる,ホテウ,ホテー
買切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,買切る,カイキウ,カイキー
盛あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,盛あがる,モリアゴウ,モリアゴー
ぶう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,ぶつ,ブウ,ブー
振り払う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,振り払う,フリハロウ,フリハロー
みきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みきる,ミキウ,ミキー
飛び廻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛び廻る,トビマオウ,トビマオー
のりかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のりかかる,ノリカコウ,ノリカコー
しもがこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しもがかる,シモガコウ,シモガコー
落合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,落合う,オチオウ,オチオー
しみわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しみわたる,シミワトウ,シミワトー
捕う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,捕る,トウ,トー
さまよう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,さまよう,サマヨウ,サマヨー
血ばしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,血ばしる,チバシウ,チバシー
よこぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,よこぎる,ヨコギウ,ヨコギー
さしかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さしかかる,サシカコウ,サシカコー
かしこもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かしこまる,カシコモウ,カシコモー
ありがたごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ありがたがる,アリガタゴウ,アリガタゴー
くるう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,くるう,クルウ,クルー
渡り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,渡り合う,ワタリオウ,ワタリオー
手間取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,手間取る,テマドウ,テマドー
えどう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,えどる,エドウ,エドー
なりわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なりわたる,ナリワトウ,ナリワトー
縢う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,縢る,カゴウ,カゴー
鎮もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,鎮まる,シズモウ,シズモー
うっちゃう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うっちゃる,ウウチャウ,ウウチャー
谷もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,谷まる,キワモウ,キワモー
行き詰もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,行き詰まる,イキヅモウ,イキズモー
行き詰もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,行き詰まる,ユキヅモウ,ユキズモー
巣どう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,巣だつ,スドウ,スドー
追い縋う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,追い縋る,オイスゴウ,オイスゴー
きえのこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きえのこる,キエノコウ,キエノコー
つとう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つたう,ツトウ,ツトー
突あとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突あたる,ツキアトウ,ツキアトー
競う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,競る,セウ,セー
こりかたもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こりかたまる,コリカタモウ,コリカタモー
悖う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,悖る,モトウ,モトー
薫う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,薫る,カオウ,カオー
攫う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,攫う,サロウ,サロー
かねおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かねあう,カネオウ,カネオー
はもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はまる,ハモウ,ハモー
揺さぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,揺さぶる,ユサブウ,ユサブー
生まれ変おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,生まれ変わる,ウマレカオウ,ウマレカオー
にぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,にぶる,ニブウ,ニブー
変う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,変る,カオウ,カオー
でそろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,でそろう,デソロウ,デソロー
つかうまつう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つかうまつる,ツカウマツウ,ツカウマツー
もりあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もりあがる,モリアゴウ,モリアゴー
いきり立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,いきり立つ,イキリトウ,イキリトー
うちやぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うちやぶる,ウチヤブウ,ウチヤブー
引こもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引こもる,ヒキコモウ,ヒキコモー
絞う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,絞る,シボウ,シボー
手こずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,手こずる,テコズウ,テコズー
むかいおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,むかいあう,ムカイオウ,ムカイオー
ひきさごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひきさがる,ヒキサゴウ,ヒキサゴー
肖う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,肖る,アヤコウ,アヤコー
摘み取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,摘み取る,ツミトウ,ツミトー
降りかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,降りかかる,フリカコウ,フリカコー
しあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しあがる,シアゴウ,シアゴー
生こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,生かる,イコウ,イコー
かきくもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かきくもる,カキクモウ,カキクモー
さがしまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さがしまわる,サガシマオウ,サガシマオー
庇う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,庇う,カボウ,カボー
ついてまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ついてまわる,ツイテマオウ,ツイテマオー
かいつくろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,かいつくろう,カイツクロウ,カイツクロー
飛びとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,飛びたつ,トビトウ,トビトー
買い被う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,買い被る,カイカブウ,カイカブー
浮きとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,浮きたつ,ウキトウ,ウキトー
持て扱う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,持て扱う,モテアツコウ,モテアツコー
とげどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,とげだつ,トゲドウ,トゲドー
賜う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,賜う,タモウ,タモー
のけぞう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のけぞる,ノケゾウ,ノケゾー
ふんじぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふんじばる,フンジボウ,フンジボー
詣う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,詣る,マイウ,マイー
謳う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,謳う,ウトウ,ウトー
当こすう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,当こする,アテコスウ,アテコスー
行き合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,行き合う,イキオウ,イキオー
行き合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,行き合う,ユキオウ,ユキオー
下がこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,下がかる,シモガコウ,シモガコー
縮み上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,縮み上がる,チヂミアゴウ,チジミアゴー
飛び上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛び上がる,トビアゴウ,トビアゴー
