問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
やせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,やせれる,ヤセレリャ,ヤセレリャ
やせれん	動詞,自立,*,*,一段・可能,体言接続特殊,やせれる,ヤセレン,ヤセレン
一旗揚げれる	動詞,自立,*,*,一段・可能,基本形,一旗揚げれる,ヒトハタアゲレル,ヒトハタアゲレル
一旗揚げれ	動詞,自立,*,*,一段・可能,未然形,一旗揚げれる,ヒトハタアゲレ,ヒトハタアゲレ
一旗揚げれ	動詞,自立,*,*,一段・可能,連用形,一旗揚げれる,ヒトハタアゲレ,ヒトハタアゲレ
一旗揚げれれ	動詞,自立,*,*,一段・可能,仮定形,一旗揚げれる,ヒトハタアゲレレ,ヒトハタアゲレレ
一旗揚げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,一旗揚げれる,ヒトハタアゲレリャ,ヒトハタアゲレリャ
一旗揚げれん	動詞,自立,*,*,一段・可能,体言接続特殊,一旗揚げれる,ヒトハタアゲレン,ヒトハタアゲレン
酔つぶれれる	動詞,自立,*,*,一段・可能,基本形,酔つぶれれる,ヨイツブレレル,ヨイツブレレル
酔つぶれれ	動詞,自立,*,*,一段・可能,未然形,酔つぶれれる,ヨイツブレレ,ヨイツブレレ
酔つぶれれ	動詞,自立,*,*,一段・可能,連用形,酔つぶれれる,ヨイツブレレ,ヨイツブレレ
酔つぶれれれ	動詞,自立,*,*,一段・可能,仮定形,酔つぶれれる,ヨイツブレレレ,ヨイツブレレレ
酔つぶれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,酔つぶれれる,ヨイツブレレリャ,ヨイツブレレリャ
酔つぶれれん	動詞,自立,*,*,一段・可能,体言接続特殊,酔つぶれれる,ヨイツブレレン,ヨイツブレレン
とどめれる	動詞,自立,*,*,一段・可能,基本形,とどめれる,トドメレル,トドメレル
とどめれ	動詞,自立,*,*,一段・可能,未然形,とどめれる,トドメレ,トドメレ
とどめれ	動詞,自立,*,*,一段・可能,連用形,とどめれる,トドメレ,トドメレ
とどめれれ	動詞,自立,*,*,一段・可能,仮定形,とどめれる,トドメレレ,トドメレレ
とどめれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,とどめれる,トドメレリャ,トドメレリャ
とどめれん	動詞,自立,*,*,一段・可能,体言接続特殊,とどめれる,トドメレン,トドメレン
付加えれる	動詞,自立,*,*,一段・可能,基本形,付加えれる,ツケクワエレル,ツケクワエレル
付加えれ	動詞,自立,*,*,一段・可能,未然形,付加えれる,ツケクワエレ,ツケクワエレ
付加えれ	動詞,自立,*,*,一段・可能,連用形,付加えれる,ツケクワエレ,ツケクワエレ
付加えれれ	動詞,自立,*,*,一段・可能,仮定形,付加えれる,ツケクワエレレ,ツケクワエレレ
付加えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,付加えれる,ツケクワエレリャ,ツケクワエレリャ
付加えれん	動詞,自立,*,*,一段・可能,体言接続特殊,付加えれる,ツケクワエレン,ツケクワエレン
閉めれる	動詞,自立,*,*,一段・可能,基本形,閉めれる,シメレル,シメレル
閉めれ	動詞,自立,*,*,一段・可能,未然形,閉めれる,シメレ,シメレ
閉めれ	動詞,自立,*,*,一段・可能,連用形,閉めれる,シメレ,シメレ
閉めれれ	動詞,自立,*,*,一段・可能,仮定形,閉めれる,シメレレ,シメレレ
閉めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,閉めれる,シメレリャ,シメレリャ
閉めれん	動詞,自立,*,*,一段・可能,体言接続特殊,閉めれる,シメレン,シメレン
目掛けれる	動詞,自立,*,*,一段・可能,基本形,目掛けれる,メガケレル,メガケレル
目掛けれ	動詞,自立,*,*,一段・可能,未然形,目掛けれる,メガケレ,メガケレ
目掛けれ	動詞,自立,*,*,一段・可能,連用形,目掛けれる,メガケレ,メガケレ
目掛けれれ	動詞,自立,*,*,一段・可能,仮定形,目掛けれる,メガケレレ,メガケレレ
目掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,目掛けれる,メガケレリャ,メガケレリャ
目掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,目掛けれる,メガケレン,メガケレン
組上げれる	動詞,自立,*,*,一段・可能,基本形,組上げれる,クミアゲレル,クミアゲレル
組上げれ	動詞,自立,*,*,一段・可能,未然形,組上げれる,クミアゲレ,クミアゲレ
組上げれ	動詞,自立,*,*,一段・可能,連用形,組上げれる,クミアゲレ,クミアゲレ
組上げれれ	動詞,自立,*,*,一段・可能,仮定形,組上げれる,クミアゲレレ,クミアゲレレ
組上げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,組上げれる,クミアゲレリャ,クミアゲレリャ
組上げれん	動詞,自立,*,*,一段・可能,体言接続特殊,組上げれる,クミアゲレン,クミアゲレン
ゆわえれる	動詞,自立,*,*,一段・可能,基本形,ゆわえれる,ユワエレル,ユワエレル
ゆわえれ	動詞,自立,*,*,一段・可能,未然形,ゆわえれる,ユワエレ,ユワエレ
ゆわえれ	動詞,自立,*,*,一段・可能,連用形,ゆわえれる,ユワエレ,ユワエレ
ゆわえれれ	動詞,自立,*,*,一段・可能,仮定形,ゆわえれる,ユワエレレ,ユワエレレ
ゆわえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ゆわえれる,ユワエレリャ,ユワエレリャ
ゆわえれん	動詞,自立,*,*,一段・可能,体言接続特殊,ゆわえれる,ユワエレン,ユワエレン
代えれる	動詞,自立,*,*,一段・可能,基本形,代えれる,カエレル,カエレル
代えれ	動詞,自立,*,*,一段・可能,未然形,代えれる,カエレ,カエレ
代えれ	動詞,自立,*,*,一段・可能,連用形,代えれる,カエレ,カエレ
代えれれ	動詞,自立,*,*,一段・可能,仮定形,代えれる,カエレレ,カエレレ
代えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,代えれる,カエレリャ,カエレリャ
代えれん	動詞,自立,*,*,一段・可能,体言接続特殊,代えれる,カエレン,カエレン
こごえれる	動詞,自立,*,*,一段・可能,基本形,こごえれる,コゴエレル,コゴエレル
こごえれ	動詞,自立,*,*,一段・可能,未然形,こごえれる,コゴエレ,コゴエレ
こごえれ	動詞,自立,*,*,一段・可能,連用形,こごえれる,コゴエレ,コゴエレ
こごえれれ	動詞,自立,*,*,一段・可能,仮定形,こごえれる,コゴエレレ,コゴエレレ
こごえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,こごえれる,コゴエレリャ,コゴエレリャ
こごえれん	動詞,自立,*,*,一段・可能,体言接続特殊,こごえれる,コゴエレン,コゴエレン
倒れれる	動詞,自立,*,*,一段・可能,基本形,倒れれる,タオレレル,タオレレル
倒れれ	動詞,自立,*,*,一段・可能,未然形,倒れれる,タオレレ,タオレレ
倒れれ	動詞,自立,*,*,一段・可能,連用形,倒れれる,タオレレ,タオレレ
倒れれれ	動詞,自立,*,*,一段・可能,仮定形,倒れれる,タオレレレ,タオレレレ
倒れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,倒れれる,タオレレリャ,タオレレリャ
倒れれん	動詞,自立,*,*,一段・可能,体言接続特殊,倒れれる,タオレレン,タオレレン
別れれる	動詞,自立,*,*,一段・可能,基本形,別れれる,ワカレレル,ワカレレル
別れれ	動詞,自立,*,*,一段・可能,未然形,別れれる,ワカレレ,ワカレレ
別れれ	動詞,自立,*,*,一段・可能,連用形,別れれる,ワカレレ,ワカレレ
別れれれ	動詞,自立,*,*,一段・可能,仮定形,別れれる,ワカレレレ,ワカレレレ
別れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,別れれる,ワカレレリャ,ワカレレリャ
別れれん	動詞,自立,*,*,一段・可能,体言接続特殊,別れれる,ワカレレン,ワカレレン
組入れれる	動詞,自立,*,*,一段・可能,基本形,組入れれる,クミイレレル,クミイレレル
組入れれ	動詞,自立,*,*,一段・可能,未然形,組入れれる,クミイレレ,クミイレレ
組入れれ	動詞,自立,*,*,一段・可能,連用形,組入れれる,クミイレレ,クミイレレ
組入れれれ	動詞,自立,*,*,一段・可能,仮定形,組入れれる,クミイレレレ,クミイレレレ
組入れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,組入れれる,クミイレレリャ,クミイレレリャ
組入れれん	動詞,自立,*,*,一段・可能,体言接続特殊,組入れれる,クミイレレン,クミイレレン
熟れれる	動詞,自立,*,*,一段・可能,基本形,熟れれる,ウレレル,ウレレル
熟れれ	動詞,自立,*,*,一段・可能,未然形,熟れれる,ウレレ,ウレレ
熟れれ	動詞,自立,*,*,一段・可能,連用形,熟れれる,ウレレ,ウレレ
熟れれれ	動詞,自立,*,*,一段・可能,仮定形,熟れれる,ウレレレ,ウレレレ
熟れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,熟れれる,ウレレリャ,ウレレリャ
熟れれん	動詞,自立,*,*,一段・可能,体言接続特殊,熟れれる,ウレレン,ウレレン
熟れれる	動詞,自立,*,*,一段・可能,基本形,熟れれる,ナレレル,ナレレル
熟れれ	動詞,自立,*,*,一段・可能,未然形,熟れれる,ナレレ,ナレレ
熟れれ	動詞,自立,*,*,一段・可能,連用形,熟れれる,ナレレ,ナレレ
熟れれれ	動詞,自立,*,*,一段・可能,仮定形,熟れれる,ナレレレ,ナレレレ
熟れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,熟れれる,ナレレリャ,ナレレリャ
熟れれん	動詞,自立,*,*,一段・可能,体言接続特殊,熟れれる,ナレレン,ナレレン
ねらわれれる	動詞,自立,*,*,一段・可能,基本形,ねらわれれる,ネラワレレル,ネラワレレル
ねらわれれ	動詞,自立,*,*,一段・可能,未然形,ねらわれれる,ネラワレレ,ネラワレレ
ねらわれれ	動詞,自立,*,*,一段・可能,連用形,ねらわれれる,ネラワレレ,ネラワレレ
ねらわれれれ	動詞,自立,*,*,一段・可能,仮定形,ねらわれれる,ネラワレレレ,ネラワレレレ
ねらわれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ねらわれれる,ネラワレレリャ,ネラワレレリャ
ねらわれれん	動詞,自立,*,*,一段・可能,体言接続特殊,ねらわれれる,ネラワレレン,ネラワレレン
あせれる	動詞,自立,*,*,一段・可能,基本形,あせれる,アセレル,アセレル
あせられ	動詞,自立,*,*,一段・可能,未然形,あせれる,アセラレ,アセラレ
あせりれ	動詞,自立,*,*,一段・可能,連用形,あせれる,アセリレ,アセリレ
あせれれ	動詞,自立,*,*,一段・可能,仮定形,あせれる,アセレレ,アセレレ
あせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,あせれる,アセレリャ,アセレリャ
あせれん	動詞,自立,*,*,一段・可能,体言接続特殊,あせれる,アセレン,アセレン
あれせ	動詞,自立,*,*,一段・可能,体言接続特殊２,あせれる,アレセ,アレセ
吹っきれれる	動詞,自立,*,*,一段・可能,基本形,吹っきれれる,フッキレレル,フッキレレル
吹っきれれ	動詞,自立,*,*,一段・可能,未然形,吹っきれれる,フッキレレ,フッキレレ
吹っきれれ	動詞,自立,*,*,一段・可能,連用形,吹っきれれる,フッキレレ,フッキレレ
吹っきれれれ	動詞,自立,*,*,一段・可能,仮定形,吹っきれれる,フッキレレレ,フッキレレレ
吹っきれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,吹っきれれる,フッキレレリャ,フッキレレリャ
吹っきれれん	動詞,自立,*,*,一段・可能,体言接続特殊,吹っきれれる,フッキレレン,フッキレレン
張りめぐらせれる	動詞,自立,*,*,一段・可能,基本形,張りめぐらせれる,ハリメグラセレル,ハリメグラセレル
張りめぐらせれ	動詞,自立,*,*,一段・可能,未然形,張りめぐらせれる,ハリメグラセレ,ハリメグラセレ
張りめぐらせれ	動詞,自立,*,*,一段・可能,連用形,張りめぐらせれる,ハリメグラセレ,ハリメグラセレ
張りめぐらせれれ	動詞,自立,*,*,一段・可能,仮定形,張りめぐらせれる,ハリメグラセレレ,ハリメグラセレレ
張りめぐらせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,張りめぐらせれる,ハリメグラセレリャ,ハリメグラセレリャ
張りめぐらせれん	動詞,自立,*,*,一段・可能,体言接続特殊,張りめぐらせれる,ハリメグラセレン,ハリメグラセレン
まくしあげれる	動詞,自立,*,*,一段・可能,基本形,まくしあげれる,マクシアゲレル,マクシアゲレル
まくしあげれ	動詞,自立,*,*,一段・可能,未然形,まくしあげれる,マクシアゲレ,マクシアゲレ
まくしあげれ	動詞,自立,*,*,一段・可能,連用形,まくしあげれる,マクシアゲレ,マクシアゲレ
まくしあげれれ	動詞,自立,*,*,一段・可能,仮定形,まくしあげれる,マクシアゲレレ,マクシアゲレレ
まくしあげれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,まくしあげれる,マクシアゲレリャ,マクシアゲレリャ
まくしあげれん	動詞,自立,*,*,一段・可能,体言接続特殊,まくしあげれる,マクシアゲレン,マクシアゲレン
ほぐれれる	動詞,自立,*,*,一段・可能,基本形,ほぐれれる,ホグレレル,ホグレレル
ほぐれれ	動詞,自立,*,*,一段・可能,未然形,ほぐれれる,ホグレレ,ホグレレ
ほぐれれ	動詞,自立,*,*,一段・可能,連用形,ほぐれれる,ホグレレ,ホグレレ
ほぐれれれ	動詞,自立,*,*,一段・可能,仮定形,ほぐれれる,ホグレレレ,ホグレレレ
ほぐれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ほぐれれる,ホグレレリャ,ホグレレリャ
ほぐれれん	動詞,自立,*,*,一段・可能,体言接続特殊,ほぐれれる,ホグレレン,ホグレレン
賎しめれる	動詞,自立,*,*,一段・可能,基本形,賎しめれる,イヤシメレル,イヤシメレル
賎しめれ	動詞,自立,*,*,一段・可能,未然形,賎しめれる,イヤシメレ,イヤシメレ
賎しめれ	動詞,自立,*,*,一段・可能,連用形,賎しめれる,イヤシメレ,イヤシメレ
賎しめれれ	動詞,自立,*,*,一段・可能,仮定形,賎しめれる,イヤシメレレ,イヤシメレレ
賎しめれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,賎しめれる,イヤシメレリャ,イヤシメレリャ
賎しめれん	動詞,自立,*,*,一段・可能,体言接続特殊,賎しめれる,イヤシメレン,イヤシメレン
追掛けれる	動詞,自立,*,*,一段・可能,基本形,追掛けれる,オッカケレル,オッカケレル
追掛けれ	動詞,自立,*,*,一段・可能,未然形,追掛けれる,オッカケレ,オッカケレ
追掛けれ	動詞,自立,*,*,一段・可能,連用形,追掛けれる,オッカケレ,オッカケレ
追掛けれれ	動詞,自立,*,*,一段・可能,仮定形,追掛けれる,オッカケレレ,オッカケレレ
追掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,追掛けれる,オッカケレリャ,オッカケレリャ
追掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,追掛けれる,オッカケレン,オッカケレン
ろうたけれる	動詞,自立,*,*,一段・可能,基本形,ろうたけれる,ロウタケレル,ロータケレル
ろうたけれ	動詞,自立,*,*,一段・可能,未然形,ろうたけれる,ロウタケレ,ロータケレ
ろうたけれ	動詞,自立,*,*,一段・可能,連用形,ろうたけれる,ロウタケレ,ロータケレ
ろうたけれれ	動詞,自立,*,*,一段・可能,仮定形,ろうたけれる,ロウタケレレ,ロータケレレ
ろうたけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ろうたけれる,ロウタケレリャ,ロータケレリャ
ろうたけれん	動詞,自立,*,*,一段・可能,体言接続特殊,ろうたけれる,ロウタケレン,ロータケレン
染上げれる	動詞,自立,*,*,一段・可能,基本形,染上げれる,ソメアゲレル,ソメアゲレル
染上げれ	動詞,自立,*,*,一段・可能,未然形,染上げれる,ソメアゲレ,ソメアゲレ
染上げれ	動詞,自立,*,*,一段・可能,連用形,染上げれる,ソメアゲレ,ソメアゲレ
染上げれれ	動詞,自立,*,*,一段・可能,仮定形,染上げれる,ソメアゲレレ,ソメアゲレレ
染上げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,染上げれる,ソメアゲレリャ,ソメアゲレリャ
染上げれん	動詞,自立,*,*,一段・可能,体言接続特殊,染上げれる,ソメアゲレン,ソメアゲレン
乗換えれる	動詞,自立,*,*,一段・可能,基本形,乗換えれる,ノリカエレル,ノリカエレル
乗換えれ	動詞,自立,*,*,一段・可能,未然形,乗換えれる,ノリカエレ,ノリカエレ
乗換えれ	動詞,自立,*,*,一段・可能,連用形,乗換えれる,ノリカエレ,ノリカエレ
乗換えれれ	動詞,自立,*,*,一段・可能,仮定形,乗換えれる,ノリカエレレ,ノリカエレレ
乗換えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,乗換えれる,ノリカエレリャ,ノリカエレリャ
乗換えれん	動詞,自立,*,*,一段・可能,体言接続特殊,乗換えれる,ノリカエレン,ノリカエレン
取捨てれる	動詞,自立,*,*,一段・可能,基本形,取捨てれる,トリステレル,トリステレル
取捨てれ	動詞,自立,*,*,一段・可能,未然形,取捨てれる,トリステレ,トリステレ
取捨てれ	動詞,自立,*,*,一段・可能,連用形,取捨てれる,トリステレ,トリステレ
取捨てれれ	動詞,自立,*,*,一段・可能,仮定形,取捨てれる,トリステレレ,トリステレレ
取捨てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取捨てれる,トリステレリャ,トリステレリャ
取捨てれん	動詞,自立,*,*,一段・可能,体言接続特殊,取捨てれる,トリステレン,トリステレン
吹っかけれる	動詞,自立,*,*,一段・可能,基本形,吹っかけれる,フッカケレル,フッカケレル
吹っかけれ	動詞,自立,*,*,一段・可能,未然形,吹っかけれる,フッカケレ,フッカケレ
吹っかけれ	動詞,自立,*,*,一段・可能,連用形,吹っかけれる,フッカケレ,フッカケレ
吹っかけれれ	動詞,自立,*,*,一段・可能,仮定形,吹っかけれる,フッカケレレ,フッカケレレ
吹っかけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,吹っかけれる,フッカケレリャ,フッカケレリャ
吹っかけれん	動詞,自立,*,*,一段・可能,体言接続特殊,吹っかけれる,フッカケレン,フッカケレン
惚気けれる	動詞,自立,*,*,一段・可能,基本形,惚気けれる,ノロケレル,ノロケレル
惚気けれ	動詞,自立,*,*,一段・可能,未然形,惚気けれる,ノロケレ,ノロケレ
惚気けれ	動詞,自立,*,*,一段・可能,連用形,惚気けれる,ノロケレ,ノロケレ
惚気けれれ	動詞,自立,*,*,一段・可能,仮定形,惚気けれる,ノロケレレ,ノロケレレ
惚気けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,惚気けれる,ノロケレリャ,ノロケレリャ
惚気けれん	動詞,自立,*,*,一段・可能,体言接続特殊,惚気けれる,ノロケレン,ノロケレン
へれる	動詞,自立,*,*,一段・可能,基本形,へれる,ヘレル,ヘレル
へられ	動詞,自立,*,*,一段・可能,未然形,へれる,ヘラレ,ヘラレ
へりれ	動詞,自立,*,*,一段・可能,連用形,へれる,ヘリレ,ヘリレ
へれれ	動詞,自立,*,*,一段・可能,仮定形,へれる,ヘレレ,ヘレレ
へれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,へれる,ヘレリャ,ヘレリャ
へれん	動詞,自立,*,*,一段・可能,体言接続特殊,へれる,ヘレン,ヘレン
れへ	動詞,自立,*,*,一段・可能,体言接続特殊２,へれる,レヘ,レヘ
手向けれる	動詞,自立,*,*,一段・可能,基本形,手向けれる,タムケレル,タムケレル
手向けれ	動詞,自立,*,*,一段・可能,未然形,手向けれる,タムケレ,タムケレ
手向けれ	動詞,自立,*,*,一段・可能,連用形,手向けれる,タムケレ,タムケレ
手向けれれ	動詞,自立,*,*,一段・可能,仮定形,手向けれる,タムケレレ,タムケレレ
手向けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,手向けれる,タムケレリャ,タムケレリャ
手向けれん	動詞,自立,*,*,一段・可能,体言接続特殊,手向けれる,タムケレン,タムケレン
あくたれれる	動詞,自立,*,*,一段・可能,基本形,あくたれれる,アクタレレル,アクタレレル
あくたれれ	動詞,自立,*,*,一段・可能,未然形,あくたれれる,アクタレレ,アクタレレ
あくたれれ	動詞,自立,*,*,一段・可能,連用形,あくたれれる,アクタレレ,アクタレレ
あくたれれれ	動詞,自立,*,*,一段・可能,仮定形,あくたれれる,アクタレレレ,アクタレレレ
あくたれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,あくたれれる,アクタレレリャ,アクタレレリャ
あくたれれん	動詞,自立,*,*,一段・可能,体言接続特殊,あくたれれる,アクタレレン,アクタレレン
皺めれる	動詞,自立,*,*,一段・可能,基本形,皺めれる,シワメレル,シワメレル
皺めれ	動詞,自立,*,*,一段・可能,未然形,皺めれる,シワメレ,シワメレ
皺めれ	動詞,自立,*,*,一段・可能,連用形,皺めれる,シワメレ,シワメレ
皺めれれ	動詞,自立,*,*,一段・可能,仮定形,皺めれる,シワメレレ,シワメレレ
皺めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,皺めれる,シワメレリャ,シワメレリャ
皺めれん	動詞,自立,*,*,一段・可能,体言接続特殊,皺めれる,シワメレン,シワメレン
絞めれる	動詞,自立,*,*,一段・可能,基本形,絞めれる,シメレル,シメレル
絞めれ	動詞,自立,*,*,一段・可能,未然形,絞めれる,シメレ,シメレ
絞めれ	動詞,自立,*,*,一段・可能,連用形,絞めれる,シメレ,シメレ
絞めれれ	動詞,自立,*,*,一段・可能,仮定形,絞めれる,シメレレ,シメレレ
絞めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,絞めれる,シメレリャ,シメレリャ
絞めれん	動詞,自立,*,*,一段・可能,体言接続特殊,絞めれる,シメレン,シメレン
立遅れれる	動詞,自立,*,*,一段・可能,基本形,立遅れれる,タチオクレレル,タチオクレレル
立遅れれ	動詞,自立,*,*,一段・可能,未然形,立遅れれる,タチオクレレ,タチオクレレ
立遅れれ	動詞,自立,*,*,一段・可能,連用形,立遅れれる,タチオクレレ,タチオクレレ
立遅れれれ	動詞,自立,*,*,一段・可能,仮定形,立遅れれる,タチオクレレレ,タチオクレレレ
立遅れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,立遅れれる,タチオクレレリャ,タチオクレレリャ
立遅れれん	動詞,自立,*,*,一段・可能,体言接続特殊,立遅れれる,タチオクレレン,タチオクレレン
吹っ掛けれる	動詞,自立,*,*,一段・可能,基本形,吹っ掛けれる,フッカケレル,フッカケレル
吹っ掛けれ	動詞,自立,*,*,一段・可能,未然形,吹っ掛けれる,フッカケレ,フッカケレ
吹っ掛けれ	動詞,自立,*,*,一段・可能,連用形,吹っ掛けれる,フッカケレ,フッカケレ
吹っ掛けれれ	動詞,自立,*,*,一段・可能,仮定形,吹っ掛けれる,フッカケレレ,フッカケレレ
吹っ掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,吹っ掛けれる,フッカケレリャ,フッカケレリャ
吹っ掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,吹っ掛けれる,フッカケレン,フッカケレン
おもいとどまれれる	動詞,自立,*,*,一段・可能,基本形,おもいとどまれれる,オモイトドマレレル,オモイトドマレレル
おもいとどまれれ	動詞,自立,*,*,一段・可能,未然形,おもいとどまれれる,オモイトドマレレ,オモイトドマレレ
おもいとどまれれ	動詞,自立,*,*,一段・可能,連用形,おもいとどまれれる,オモイトドマレレ,オモイトドマレレ
おもいとどまれれれ	動詞,自立,*,*,一段・可能,仮定形,おもいとどまれれる,オモイトドマレレレ,オモイトドマレレレ
おもいとどまれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,おもいとどまれれる,オモイトドマレレリャ,オモイトドマレレリャ
おもいとどまれれん	動詞,自立,*,*,一段・可能,体言接続特殊,おもいとどまれれる,オモイトドマレレン,オモイトドマレレン
めなれれる	動詞,自立,*,*,一段・可能,基本形,めなれれる,メナレレル,メナレレル
めなれれ	動詞,自立,*,*,一段・可能,未然形,めなれれる,メナレレ,メナレレ
めなれれ	動詞,自立,*,*,一段・可能,連用形,めなれれる,メナレレ,メナレレ
めなれれれ	動詞,自立,*,*,一段・可能,仮定形,めなれれる,メナレレレ,メナレレレ
めなれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,めなれれる,メナレレリャ,メナレレリャ
めなれれん	動詞,自立,*,*,一段・可能,体言接続特殊,めなれれる,メナレレン,メナレレン
纏めれる	動詞,自立,*,*,一段・可能,基本形,纏めれる,マトメレル,マトメレル
纏めれ	動詞,自立,*,*,一段・可能,未然形,纏めれる,マトメレ,マトメレ
纏めれ	動詞,自立,*,*,一段・可能,連用形,纏めれる,マトメレ,マトメレ
纏めれれ	動詞,自立,*,*,一段・可能,仮定形,纏めれる,マトメレレ,マトメレレ
纏めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,纏めれる,マトメレリャ,マトメレリャ
纏めれん	動詞,自立,*,*,一段・可能,体言接続特殊,纏めれる,マトメレン,マトメレン
降こめれる	動詞,自立,*,*,一段・可能,基本形,降こめれる,フリコメレル,フリコメレル
降こめれ	動詞,自立,*,*,一段・可能,未然形,降こめれる,フリコメレ,フリコメレ
降こめれ	動詞,自立,*,*,一段・可能,連用形,降こめれる,フリコメレ,フリコメレ
降こめれれ	動詞,自立,*,*,一段・可能,仮定形,降こめれる,フリコメレレ,フリコメレレ
降こめれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,降こめれる,フリコメレリャ,フリコメレリャ
降こめれん	動詞,自立,*,*,一段・可能,体言接続特殊,降こめれる,フリコメレン,フリコメレン
生まれ変われれる	動詞,自立,*,*,一段・可能,基本形,生まれ変われれる,ウマレカワレレル,ウマレカワレレル
生まれ変われれ	動詞,自立,*,*,一段・可能,未然形,生まれ変われれる,ウマレカワレレ,ウマレカワレレ
生まれ変われれ	動詞,自立,*,*,一段・可能,連用形,生まれ変われれる,ウマレカワレレ,ウマレカワレレ
生まれ変われれれ	動詞,自立,*,*,一段・可能,仮定形,生まれ変われれる,ウマレカワレレレ,ウマレカワレレレ
生まれ変われれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,生まれ変われれる,ウマレカワレレリャ,ウマレカワレレリャ
生まれ変われれん	動詞,自立,*,*,一段・可能,体言接続特殊,生まれ変われれる,ウマレカワレレン,ウマレカワレレン
泳がせれる	動詞,自立,*,*,一段・可能,基本形,泳がせれる,オヨガセレル,オヨガセレル
泳がせれ	動詞,自立,*,*,一段・可能,未然形,泳がせれる,オヨガセレ,オヨガセレ
泳がせれ	動詞,自立,*,*,一段・可能,連用形,泳がせれる,オヨガセレ,オヨガセレ
泳がせれれ	動詞,自立,*,*,一段・可能,仮定形,泳がせれる,オヨガセレレ,オヨガセレレ
泳がせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,泳がせれる,オヨガセレリャ,オヨガセレリャ
泳がせれん	動詞,自立,*,*,一段・可能,体言接続特殊,泳がせれる,オヨガセレン,オヨガセレン
蕩けれる	動詞,自立,*,*,一段・可能,基本形,蕩けれる,トロケレル,トロケレル
蕩けれ	動詞,自立,*,*,一段・可能,未然形,蕩けれる,トロケレ,トロケレ
蕩けれ	動詞,自立,*,*,一段・可能,連用形,蕩けれる,トロケレ,トロケレ
蕩けれれ	動詞,自立,*,*,一段・可能,仮定形,蕩けれる,トロケレレ,トロケレレ
蕩けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,蕩けれる,トロケレリャ,トロケレリャ
蕩けれん	動詞,自立,*,*,一段・可能,体言接続特殊,蕩けれる,トロケレン,トロケレン
りかいしあえれる	動詞,自立,*,*,一段・可能,基本形,りかいしあえれる,リカイシアエレル,リカイシアエレル
りかいしあえれ	動詞,自立,*,*,一段・可能,未然形,りかいしあえれる,リカイシアエレ,リカイシアエレ
りかいしあえれ	動詞,自立,*,*,一段・可能,連用形,りかいしあえれる,リカイシアエレ,リカイシアエレ
