悠介	名詞,固有名詞,人名,名,*,*,悠介,ユウスケ,ユースケ
ガッキー	名詞,固有名詞,人名,名,*,*,ガッキー,ガッキー,ガッキー
マウントレーニヤ	名詞,固有名詞,一般,*,*,*,マウントレーニヤ,マウントレーニヤ,マウントレーニヤ
マウントレーニア	名詞,固有名詞,一般,*,*,*,マウントレーニア,マウントレーニア,マウントレーニア
ベッキー	名詞,固有名詞,人名,名,*,*,ベッキー,ベッキー,ベッキー
サプライズゲスト	名詞,一般,*,*,*,*,サプライズゲスト,サプライズゲスト,サプライズゲスト
メンズノンノ	名詞,固有名詞,一般,*,*,*,メンズノンノ,メンズノンノ,メンズノンノ
玖	名詞,一般,*,*,*,*,玖,玖,玖
アラフォー	名詞,一般,*,*,*,*,アラフォー,アラフォー,アラフォー
やきとり	名詞,一般,*,*,*,*,やきとり,ヤキトリ,ヤキトリ
尼	名詞,固有名詞,地域,一般,*,*,尼,尼,尼
韓国人	名詞,一般,*,*,*,*,韓国人,カンコクジン,カンコクジン
上ヶ原	名詞,固有名詞,地域,一般,*,*,上ヶ原,上ヶ原,上ヶ原
暁瑋	名詞,固有名詞,人名,名,*,*,暁瑋,暁瑋,暁瑋
オーパ	名詞,固有名詞,一般,*,*,*,オーパ,オーパ,オーパ
何人	名詞,一般,*,*,*,*,何人,ナンニン,ナンニン
スイートルーム	名詞,固有名詞,一般,*,*,*,スイートルーム,スイートルーム,スイートルーム
オーシャンビュー	名詞,固有名詞,一般,*,*,*,オーシャンビュー,オーシャンビュー,オーシャンビュー
テトラパック	名詞,一般,*,*,*,*,テトラパック,テトラパック,テトラパック
ビーンズ	名詞,一般,*,*,*,*,ビーンズ,ビーンズ,ビーンズ
メグミルク	名詞,固有名詞,一般,*,*,*,メグミルク,メグミルク,メグミルク
のりぴー	名詞,固有名詞,人名,名,*,*,のりぴー,ノリピー,ノリピー
スイッチオン	名詞,一般,*,*,*,*,スイッチオン,スイッチオン,スイッチオン
グランフロート	名詞,固有名詞,一般,*,*,*,グランフロート,グランフロート,グランフロート
ありんこ	名詞,一般,*,*,*,*,ありんこ,アリンコ,アリンコ
生顔	名詞,一般,*,*,*,*,生顔,ナマガオ,ナマガオ
ディープパープル	名詞,固有名詞,一般,*,*,*,ディープパープル,ディープパープル,ディープパープル
LP	名詞,一般,*,*,*,*,LP,LP,LP
音圧	名詞,一般,*,*,*,*,音圧,オンアツ,オンアツ
リッチー・ブラックモア	名詞,固有名詞,人名,名,*,*,リッチー・ブラックモア,リッチー・ブラックモア,リッチー・ブラックモア
パッチン	名詞,一般,*,*,*,*,パッチン,パッチン,パッチン
ブッチン	名詞,一般,*,*,*,*,ブッチン,ブッチン,ブッチン
キャディ	名詞,一般,*,*,*,*,キャディ,キャディ,キャディ
SOS	名詞,一般,*,*,*,*,SOS,SOS,SOS
心因性	名詞,一般,*,*,*,*,心因性,シンエンセイ,シンエンセイ
わんころ	名詞,一般,*,*,*,*,わんころ,ワンコロ,ワンコロ
ヨットハーバー	名詞,固有名詞,一般,*,*,*,ヨットハーバー,ヨットハーバー,ヨットハーバー
ダルビッシュ	名詞,固有名詞,人名,名,*,*,ダルビッシュ,ダルビッシュ,ダルビッシュ
ノーランダイアン	名詞,一般,*,*,*,*,ノーランダイアン,ノーランダイアン,ノーランダイアン
ランディーバース	名詞,固有名詞,人名,名,*,*,ランディーバース,ランディーバース,ランディーバース
竹取物語	名詞,固有名詞,一般,*,*,*,竹取物語,タケトリモノガタリ,タケトリモノガタリ
砥峰	名詞,固有名詞,地域,一般,*,*,砥峰,砥峰,砥峰
トノミネ	名詞,固有名詞,地域,一般,*,*,トノミネ,トノミネ,トノミネ
万代	名詞,固有名詞,一般,*,*,*,万代,マンダイ,マンダイ
スクリーンショット	名詞,一般,*,*,*,*,スクリーンショット,スクリーンショット,スクリーンショット
アラーム	名詞,一般,*,*,*,*,アラーム,アラーム,アラーム
YWCA	名詞,固有名詞,一般,*,*,*,YWCA,YWCA,YWCA
ミョンドン	名詞,固有名詞,地域,一般,*,*,ミョンドン,ミョンドン,ミョンドン
コスメ	名詞,一般,一般,*,*,*,コスメ,コスメ,コスメ
フライング・ダイナソー	名詞,固有名詞,一般,*,*,*,フライング・ダイナソー,フライング・ダイナソー,フライング・ダイナソー
年パス	名詞,一般,*,*,*,*,年パス,年パス,年パス
ハロウィーン	名詞,固有名詞,一般,*,*,*,ハロウィーン,ハロウィーン,ハロウィーン
スパイダーマン	名詞,固有名詞,一般,*,*,*,スパイダーマン,スパイダーマン,スパイダーマン
マルバツクイズ	名詞,一般,*,*,*,*,マルバツクイズ,マルバツクイズ,マルバツクイズ
ゴム飛び	名詞,一般,*,*,*,*,ゴム飛び,ゴムトビ,ゴムトビ
MG	名詞,固有名詞,一般,*,*,*,MG,MG,MG
コンセ	名詞,固有名詞,一般,*,*,*,コンセ,コンセ,コンセ
スペック	名詞,一般,*,*,*,*,スペック,スペック,スペック
なばな	名詞,固有名詞,一般,*,*,*,なばな,ナバナ,ナバナ
メンソール	名詞,固有名詞,一般,*,*,*,メンソール,メンソール,メンソール
ドキュン	名詞,一般,*,*,*,*,ドキュン,ドキュン,ドキュン
社会人	名詞,一般,*,*,*,*,社会人,シャカイジン,シャカイジン
じゅじゅう	名詞,固有名詞,一般,*,*,*,じゅじゅう,ジュジュウ,ジュジュウ
きっしー	名詞,固有名詞,人名,名,*,*,きっしー,キッシー,キッシー
ES	名詞,固有名詞,一般,*,*,*,ES,ES,ES
スチューデント	名詞,一般,*,*,*,*,スチューデント,スチューデント,スチューデント
Juice=Juice	名詞,固有名詞,一般,*,*,*,Juice=Juice,Juice=Juice,Juice=Juice
スマイレージ	名詞,固有名詞,一般,*,*,*,スマイレージ,スマイレージ,スマイレージ
Berrys工房	名詞,固有名詞,一般,*,*,*,Berrys工房,Berrys工房,Berrys工房
Cute	名詞,固有名詞,一般,*,*,*,Cute,Cute,Cute
関ジャニ	名詞,固有名詞,一般,*,*,*,関ジャニ,関ジャニ,関ジャニ
ハロプロ	名詞,固有名詞,一般,*,*,*,ハロプロ,ハロプロ,ハロプロ
ミキパン	名詞,固有名詞,一般,*,*,*,ミキパン,ミキパン,ミキパン
モーニング娘	名詞,固有名詞,一般,*,*,*,モーニング娘,モーニング娘,モーニング娘
ずみ	名詞,固有名詞,人名,名,*,*,ずみ,ズミ,ズミ
親不知	名詞,一般,*,*,*,*,親不知,親不知,親不知
ゆうちょ	名詞,固有名詞,組織,*,*,*,ゆうちょ,ユウチョ,ユウチョ
ロキソニン	名詞,固有名詞,一般,*,*,*,ロキソニン,ロキソニン,ロキソニン
絢	名詞,固有名詞,人名,名,*,*,絢,アヤ,アヤ
みきりん	名詞,固有名詞,人名,名,*,*,みきりん,ミキリン,ミキリン
食べほう	名詞,一般,*,*,*,*,食べほう,食ベホウ,食ベホウ
ぶりっ子	名詞,一般,*,*,*,*,ぶりっ子,ブリッ子,ブリッ子
エスパーニャ	名詞,固有名詞,一般,*,*,*,エスパーニャ,エスパーニャ,エスパーニャ
パルケ	名詞,固有名詞,一般,*,*,*,パルケ,パルケ,パルケ
ギネス	名詞,固有名詞,一般,*,*,*,ギネス,ギネス,ギネス
セイムシュルト	名詞,固有名詞,人名,名,*,*,セイムシュルト,セイムシュルト,セイムシュルト
テラモト	名詞,固有名詞,一般,*,*,*,テラモト,テラモト,テラモト
オクレ	名詞,固有名詞,人名,名,*,*,オクレ,オクレ,オクレ
ソーラン	名詞,固有名詞,一般,*,*,*,ソーラン,ソーラン,ソーラン
大縄	名詞,一般,*,*,*,*,大縄,大縄,大縄
海洋	名詞,固有名詞,一般,*,*,*,海洋,海洋,海洋
たから	名詞,固有名詞,一般,*,*,*,たから,タカラ,タカラ
ぐくり	名詞,一般,*,*,*,*,ぐくり,グクリ,グクリ
正孝	名詞,固有名詞,人名,名,*,*,正孝,正孝,正孝
ナルト	名詞,固有名詞,一般,*,*,*,ナルト,ナルト,ナルト
ネットル	名詞,固有名詞,一般,*,*,*,ネットル,ネットル,ネットル
JUJU	名詞,固有名詞,一般,*,*,*,JUJU,JUJU,JUJU
チンジャオロース	名詞,固有名詞,一般,*,*,*,チンジャオロース,チンジャオロース,チンジャオロース
ジャッキー・チェン	名詞,固有名詞,人名,名,*,*,ジャッキー・チェン,ジャッキー・チェン,ジャッキー・チェン
ルーチエンルー	名詞,固有名詞,人名,名,*,*,ルーチエンルー,ルーチエンルー,ルーチエンルー
生もの	名詞,一般,*,*,*,*,生もの,ナマモノ,ナマモノ
生卵	名詞,一般,*,*,*,*,生卵,ナマタマゴ,ナマタマゴ
鶏カシューピリ辛炒め	名詞,固有名詞,一般,*,*,*,鶏カシューピリ辛炒め,鶏カシューピリ辛炒メ,鶏カシューピリ辛炒メ
タウンワーク	名詞,固有名詞,一般,*,*,*,タウンワーク,タウンワーク,タウンワーク
播淡	名詞,固有名詞,一般,*,*,*,播淡,播淡,播淡
巌谷	名詞,固有名詞,地域,一般,*,*,巌谷,巌谷,巌谷
三菱造船所	名詞,固有名詞,一般,*,*,*,三菱造船所,三菱造船所,三菱造船所
桑見	名詞,固有名詞,一般,*,*,*,桑見,桑見,桑見
明高	名詞,固有名詞,一般,*,*,*,明高,明高,明高
明中	名詞,固有名詞,一般,*,*,*,明中,明中,明中
おつかい	名詞,一般,*,*,*,*,おつかい,オツカイ,オツカイ
まい	名詞,固有名詞,人名,名,*,*,まい,マイ,マイ
おふろ	名詞,一般,*,*,*,*,おふろ,オフロ,オフロ
年より	名詞,一般,*,*,*,*,年より,年ヨリ,年ヨリ
タコフェリー	名詞,固有名詞,一般,*,*,*,タコフェリー,タコフェリー,タコフェリー
大和島	名詞,固有名詞,地域,一般,*,*,大和島,大和島,大和島
北淡町	名詞,固有名詞,地域,一般,*,*,北淡町,北淡町,北淡町
みなと銀行	名詞,固有名詞,一般,*,*,*,みなと銀行,ミナト銀行,ミナト銀行
しくみ	名詞,一般,*,*,*,*,しくみ,シクミ,シクミ
いぬざき	名詞,固有名詞,人名,名,*,*,いぬざき,イヌザキ,イヌザキ
誕生日	名詞,一般,*,*,*,*,誕生日,誕生日,誕生日
岩楠	名詞,固有名詞,人名,名,*,*,岩楠,岩楠,岩楠
やっちゃん	名詞,固有名詞,人名,名,*,*,やっちゃん,ヤッチャン,ヤッチャン
バーガーキング	名詞,固有名詞,一般,*,*,*,バーガーキング,バーガーキング,バーガーキング
ベイビー	名詞,一般,*,*,*,*,ベイビー,ベイビー,ベイビー
インソル	名詞,固有名詞,一般,*,*,*,インソル,インソル,インソル
スポ薦	名詞,一般,*,*,*,*,スポ薦,スポ薦,スポ薦
街中	名詞,一般,*,*,*,*,街中,街中,街中
ルーズヴェルトゲーム	名詞,固有名詞,一般,*,*,*,ルーズヴェルトゲーム,ルーズヴェルトゲーム,ルーズヴェルトゲーム
煮魚	名詞,一般,*,*,*,*,煮魚,煮魚,煮魚
ファイナンシャル	名詞,固有名詞,一般,*,*,*,ファイナンシャル,ファイナンシャル,ファイナンシャル
UFJ	名詞,固有名詞,一般,*,*,*,UFJ,UFJ,UFJ
ポスコ	名詞,固有名詞,一般,*,*,*,ポスコ,ポスコ,ポスコ
IT	名詞,固有名詞,一般,*,*,*,IT,IT,IT
百四銀行	名詞,固有名詞,一般,*,*,*,百四銀行,百四銀行,百四銀行
パア	名詞,一般,*,*,*,*,パア,パア,パア
JA	名詞,固有名詞,組織,*,*,*,JA,JA,JA
NTT	名詞,固有名詞,一般,*,*,*,NTT,NTT,NTT
FAX	名詞,一般,*,*,*,*,FAX,FAX,FAX
インタビューア	名詞,一般,*,*,*,*,インタビューア,インタビューア,インタビューア
ゆうきゃん	名詞,固有名詞,人名,名,*,*,ゆうきゃん,ユウキャン,ユウキャン
テルマエ	名詞,固有名詞,一般,*,*,*,テルマエ,テルマエ,テルマエ
テルマエロマエ	名詞,固有名詞,一般,*,*,*,テルマエロマエ,テルマエロマエ,テルマエロマエ
ウォッチ	名詞,固有名詞,一般,*,*,*,ウォッチ,ウォッチ,ウォッチ
学活	名詞,一般,*,*,*,*,学活,学活,学活
市大	名詞,一般,*,*,*,*,市大,市大,市大
エスコヤマ	名詞,固有名詞,一般,*,*,*,エスコヤマ,エスコヤマ,エスコヤマ
マリーナベイサウンズ	名詞,固有名詞,一般,*,*,*,マリーナベイサウンズ,マリーナベイサウンズ,マリーナベイサウンズ
シャーロット	名詞,固有名詞,人名,名,*,*,シャーロット,シャーロット,シャーロット
ノース	名詞,固有名詞,地域,一般,*,*,ノース,ノース,ノース
悟空	名詞,固有名詞,人名,名,*,*,悟空,悟空,悟空
悟飯	名詞,固有名詞,人名,名,*,*,悟飯,悟飯,悟飯
ブラジル人	名詞,一般,*,*,*,*,ブラジル人,ブラジル人,ブラジル人
スリップノット	名詞,一般,*,*,*,*,スリップノット,スリップノット,スリップノット
酸欠	名詞,一般,*,*,*,*,酸欠,酸欠,酸欠
パンクロック	名詞,一般,*,*,*,*,パンクロック,パンクロック,パンクロック
足数	名詞,一般,*,*,*,*,足数,足数,足数
河合	名詞,固有名詞,一般,*,*,*,河合,河合,河合
音々	名詞,固有名詞,一般,*,*,*,音々,音々,音々
カビラジェイ	名詞,固有名詞,一般,*,*,*,カビラジェイ,カビラジェイ,カビラジェイ
ビー	名詞,固有名詞,一般,*,*,*,ビー,ビー,ビー
おかあ	名詞,一般,*,*,*,*,おかあ,オカア,オカア
荒らし子	名詞,一般,*,*,*,*,荒らし子,荒ラシ子,荒ラシ子
浅間山荘事件	名詞,固有名詞,一般,*,*,*,浅間山荘事件,浅間山荘事件,浅間山荘事件
リッツカールトン	名詞,固有名詞,一般,*,*,*,リッツカールトン,リッツカールトン,リッツカールトン
デザインデザイン	名詞,固有名詞,一般,*,*,*,デザインデザイン,デザインデザイン,デザインデザイン
もも	名詞,固有名詞,人名,名,*,*,もも,モモ,モモ
ミュート	名詞,一般,*,*,*,*,ミュート,ミュート,ミュート
トランバック	名詞,一般,*,*,*,*,トランバック,トランバック,トランバック
マカロン	名詞,一般,*,*,*,*,マカロン,マカロン,マカロン
キャビンアテンダント	名詞,一般,*,*,*,*,キャビンアテンダント,キャビンアテンダント,キャビンアテンダント
ハイアット	名詞,固有名詞,一般,*,*,*,ハイアット,ハイアット,ハイアット
ハイアットホテル	名詞,固有名詞,一般,*,*,*,ハイアットホテル,ハイアットホテル,ハイアットホテル
リクルーション	名詞,一般,*,*,*,*,リクルーション,リクルーション,リクルーション
脊損	名詞,固有名詞,一般,*,*,*,脊損,脊損,脊損
パラリンオリンピック	名詞,固有名詞,一般,*,*,*,パラリンオリンピック,パラリンオリンピック,パラリンオリンピック
パラ	名詞,一般,*,*,*,*,パラ,パラ,パラ
たっちゃん	名詞,固有名詞,人名,名,*,*,たっちゃん,タッチャン,タッチャン
障がい者	名詞,一般,*,*,*,*,障がい者,障ガイ者,障ガイ者
お勧め	名詞,一般,*,*,*,*,お勧め,オ勧メ,オ勧メ
九寨溝	名詞,固有名詞,地域,一般,*,*,九寨溝,九寨溝,九寨溝
ちちんぷい	名詞,固有名詞,一般,*,*,*,ちちんぷい,チチンプイ,チチンプイ
チーズフォンデュ	名詞,一般,*,*,*,*,チーズフォンデュ,チーズフォンデュ,チーズフォンデュ
BRIDGE	名詞,固有名詞,一般,*,*,*,BRIDGE,BRIDGE,BRIDGE
TOEICBRIDGE	名詞,固有名詞,一般,*,*,*,TOEICBRIDGE,TOEICBRIDGE,TOEICBRIDGE
エクスペリエンス	名詞,一般,*,*,*,*,エクスペリエンス,エクスペリエンス,エクスペリエンス
BRIDGE	名詞,一般,*,*,*,*,BRIDGE,BRIDGE,BRIDGE
トイック	名詞,固有名詞,一般,*,*,*,トイック,トイック,トイック
トイックブリッジ	名詞,固有名詞,一般,*,*,*,トイックブリッジ,トイックブリッジ,トイックブリッジ
UCC	名詞,固有名詞,一般,*,*,*,UCC,UCC,UCC
IEEE	名詞,固有名詞,一般,*,*,*,IEEE,IEEE,IEEE
アイトリプルイー	名詞,固有名詞,一般,*,*,*,アイトリプルイー,アイトリプルイー,アイトリプルイー
LCC	名詞,固有名詞,一般,*,*,*,LCC,LCC,LCC
こうのとり	名詞,固有名詞,一般,*,*,*,こうのとり,コウノトリ,コウノトリ
クオカード	名詞,固有名詞,一般,*,*,*,クオカード,クオカード,クオカード
オバマ	名詞,固有名詞,人名,名,*,*,オバマ,オバマ,オバマ
デスフロムザスカイ	名詞,固有名詞,一般,*,*,*,デスフロムザスカイ,デスフロムザスカイ,デスフロムザスカイ
ザブルー	名詞,固有名詞,一般,*,*,*,ザブルー,ザブルー,ザブルー
霹靂	名詞,固有名詞,一般,*,*,*,霹靂,霹靂,霹靂
フロムザブルー	名詞,固有名詞,一般,*,*,*,フロムザブルー,フロムザブルー,フロムザブルー
スピーチライター	名詞,一般,*,*,*,*,スピーチライター,スピーチライター,スピーチライター
ラノベ	名詞,固有名詞,一般,*,*,*,ラノベ,ラノベ,ラノベ
エアフォースワン	名詞,固有名詞,一般,*,*,*,エアフォースワン,エアフォースワン,エアフォースワン
ときそば	名詞,一般,*,*,*,*,ときそば,トキソバ,トキソバ
ゲットランチャー	名詞,固有名詞,一般,*,*,*,ゲットランチャー,ゲットランチャー,ゲットランチャー
くみこ	名詞,固有名詞,人名,名,*,*,くみこ,クミコ,クミコ
シャーペン	名詞,一般,*,*,*,*,シャーペン,シャーペン,シャーペン
ふーじー	名詞,固有名詞,人名,名,*,*,ふーじー,フージー,フージー
武高女	名詞,固有名詞,一般,*,*,*,武高女,武高女,武高女
何ちゃらかんちゃら	名詞,一般,*,*,*,*,何ちゃらかんちゃら,何チャラカンチャラ,何チャラカンチャラ
何ちゃら	名詞,一般,*,*,*,*,何ちゃら,何チャラ,何チャラ
マシンガン	名詞,一般,*,*,*,*,マシンガン,マシンガン,マシンガン
慎江	名詞,固有名詞,人名,名,*,*,慎江,慎江,慎江
一蘭	名詞,固有名詞,一般,*,*,*,一蘭,一蘭,一蘭
大安亭	名詞,固有名詞,一般,*,*,*,大安亭,大安亭,大安亭
近場	名詞,一般,*,*,*,*,近場,近場,近場
つくね	名詞,固有名詞,一般,*,*,*,つくね,ツクネ,ツクネ
サブウェイ	名詞,固有名詞,一般,*,*,*,サブウェイ,サブウェイ,サブウェイ
淳平	名詞,固有名詞,人名,名,*,*,淳平,淳平,淳平
ますかけ	名詞,一般,*,*,*,*,ますかけ,マスカケ,マスカケ
みゆ	名詞,固有名詞,人名,名,*,*,みゆ,ミユ,ミユ
ブックオフ	名詞,固有名詞,一般,*,*,*,ブックオフ,ブックオフ,ブックオフ
レインツリー	名詞,固有名詞,一般,*,*,*,レインツリー,レインツリー,レインツリー
ibooks	名詞,固有名詞,一般,*,*,*,ibooks,ibooks,ibooks
DAIGO	名詞,固有名詞,一般,*,*,*,DAIGO,DAIGO,DAIGO
英米	名詞,固有名詞,地域,一般,*,*,英米,英米,英米
まおみ	名詞,固有名詞,人名,名,*,*,まおみ,マオミ,マオミ
亜依	名詞,固有名詞,人名,名,*,*,亜依,亜依,亜依
小林駅	名詞,固有名詞,一般,*,*,*,小林駅,小林駅,小林駅
いのっち	名詞,固有名詞,人名,名,*,*,いのっち,イノッチ,イノッチ
V6	名詞,固有名詞,一般,*,*,*,V6,V6,V6
みお	名詞,固有名詞,人名,名,*,*,みお,ミオ,ミオ
そろばん	名詞,一般,*,*,*,*,そろばん,ソロバン,ソロバン
くまもち	名詞,一般,*,*,*,*,くまもち,クマモチ,クマモチ
はしっこ	名詞,一般,*,*,*,*,はしっこ,ハシッコ,ハシッコ
チームプレイ	名詞,一般,*,*,*,*,チームプレイ,チームプレイ,チームプレイ
イボ	名詞,一般,*,*,*,*,イボ,イボ,イボ
パナホーム	名詞,一般,*,*,*,*,パナホーム,パナホーム,パナホーム
扱胴	名詞,一般,*,*,*,*,扱胴,扱胴,扱胴
ピアニカ	名詞,一般,*,*,*,*,ピアニカ,ピアニカ,ピアニカ
aiko	名詞,固有名詞,一般,*,*,*,aiko,aiko,aiko
supperfly	名詞,固有名詞,一般,*,*,*,supperfly,supperfly,supperfly
シー	名詞,固有名詞,一般,*,*,*,シー,シー,シー
チュロス	名詞,一般,*,*,*,*,チュロス,チュロス,チュロス
TDL	名詞,固有名詞,一般,*,*,*,TDL,TDL,TDL
腐豆腐	名詞,一般,*,*,*,*,腐豆腐,腐豆腐,腐豆腐
ヒラパー	名詞,固有名詞,一般,*,*,*,ヒラパー,ヒラパー,ヒラパー
ジェットコースター	名詞,一般,*,*,*,*,ジェットコースター,ジェットコースター,ジェットコースター
恋バナ	名詞,一般,*,*,*,*,恋バナ,恋バナ,恋バナ
ドリカム	名詞,固有名詞,一般,*,*,*,ドリカム,ドリカム,ドリカム
ロック・アム・リング	名詞,固有名詞,一般,*,*,*,ロック・アム・リング,ロック・アム・リング,ロック・アム・リング
ライブフェス	名詞,一般,*,*,*,*,ライブフェス,ライブフェス,ライブフェス
ジンベエザメ	名詞,一般,*,*,*,*,ジンベエザメ,ジンベエザメ,ジンベエザメ
カルボナーラ	名詞,一般,*,*,*,*,カルボナーラ,カルボナーラ,カルボナーラ
トラフ	名詞,一般,*,*,*,*,トラフ,トラフ,トラフ
エクササイズ	名詞,一般,*,*,*,*,エクササイズ,エクササイズ,エクササイズ
google	名詞,固有名詞,一般,*,*,*,google,google,google
エックスクーター	名詞,固有名詞,一般,*,*,*,エックスクーター,エックスクーター,エックスクーター
セメスター	名詞,一般,*,*,*,*,セメスター,セメスター,セメスター
ポルノグラフィティ	名詞,固有名詞,一般,*,*,*,ポルノグラフィティ,ポルノグラフィティ,ポルノグラフィティ
サウダージ	名詞,固有名詞,一般,*,*,*,サウダージ,サウダージ,サウダージ
じいじ	名詞,一般,*,*,*,*,じいじ,ジイジ,ジイジ
メロス	名詞,固有名詞,一般,*,*,*,メロス,メロス,メロス
ギタボ	名詞,一般,*,*,*,*,ギタボ,ギタボ,ギタボ
ゲス	名詞,固有名詞,一般,*,*,*,ゲス,ゲス,ゲス
ディープ	名詞,固有名詞,一般,*,*,*,ディープ,ディープ,ディープ
ビリギャル	名詞,固有名詞,一般,*,*,*,ビリギャル,ビリギャル,ビリギャル
テキーラ	名詞,一般,*,*,*,*,テキーラ,テキーラ,テキーラ
べース	名詞,一般,*,*,*,*,べース,ベース,ベース
アゲハ蝶	名詞,固有名詞,一般,*,*,*,アゲハ蝶,アゲハ蝶,アゲハ蝶
どべ	名詞,一般,*,*,*,*,どべ,ドベ,ドベ
グリーンデイ	名詞,固有名詞,一般,*,*,*,グリーンデイ,グリーンデイ,グリーンデイ
サーファー	名詞,一般,*,*,*,*,サーファー,サーファー,サーファー
じさん	名詞,一般,*,*,*,*,じさん,ジサン,ジサン
ケンケン	名詞,固有名詞,人名,名,*,*,ケンケン,ケンケン,ケンケン
やず	名詞,固有名詞,人名,名,*,*,やず,ヤズ,ヤズ
おとう	名詞,一般,*,*,*,*,おとう,オトウ,オトウ
フリートーク	名詞,一般,*,*,*,*,フリートーク,フリートーク,フリートーク
コミュ障	名詞,一般,*,*,*,*,コミュ障,コミュ障,コミュ障
ジャンバー	名詞,一般,*,*,*,*,ジャンバー,ジャンバー,ジャンバー
しましま	名詞,一般,*,*,*,*,しましま,シマシマ,シマシマ
TPO	名詞,固有名詞,一般,*,*,*,TPO,TPO,TPO
おかあちゃん	名詞,一般,*,*,*,*,おかあちゃん,オカアチャン,オカアチャン
もひとつ	名詞,一般,*,*,*,*,もひとつ,モヒトツ,モヒトツ
コミュセン	名詞,一般,*,*,*,*,コミュセン,コミュセン,コミュセン
トラピックス	名詞,固有名詞,一般,*,*,*,トラピックス,トラピックス,トラピックス
クラブツーリズム	名詞,固有名詞,一般,*,*,*,クラブツーリズム,クラブツーリズム,クラブツーリズム
暖パン	名詞,一般,*,*,*,*,暖パン,暖パン,暖パン
ワンツースリー	名詞,一般,*,*,*,*,ワンツースリー,ワンツースリー,ワンツースリー
トランジット	名詞,一般,*,*,*,*,トランジット,トランジット,トランジット
ミルンベルグ	名詞,固有名詞,地域,一般,*,*,ミルンベルグ,ミルンベルグ,ミルンベルグ
ローテンブルク	名詞,固有名詞,地域,一般,*,*,ローテンブルク,ローテンブルク,ローテンブルク
オーナメント	名詞,一般,*,*,*,*,オーナメント,オーナメント,オーナメント
クリスマスイヴ	名詞,一般,*,*,*,*,クリスマスイヴ,クリスマスイヴ,クリスマスイヴ
三工社五現業	名詞,一般,*,*,*,*,三工社五現業,三工社五現業,三工社五現業
ノイシュバンシュタイン	名詞,固有名詞,一般,*,*,*,ノイシュバンシュタイン,ノイシュバンシュタイン,ノイシュバンシュタイン
近場	名詞,一般,*,*,*,*,近場,チカバ,チカバ
つくね	名詞,一般,*,*,*,*,つくね,ツクネ,ツクネ
サブウェイ	名詞,固有名詞,組織,*,*,*,サブウェイ,サブウェイ,サブウェイ
溝端	名詞,固有名詞,人名,姓,*,*,溝端,ミゾバタ,ミゾバタ
淳平	名詞,固有名詞,人名,名,*,*,淳平,ジュンペイ,ジュンペイ
ますかけ	名詞,一般,*,*,*,*,ますかけ,マスカケ,マスカケ
現社	名詞,一般,*,*,*,*,現社,ゲンシャ,ゲンシャ
後	名詞,副詞可能,*,*,*,*,後,アト,アト
正孝	名詞,固有名詞,人名,名,*,*,正孝,マサタカ,マサタカ
高良	名詞,固有名詞,人名,姓,*,*,高良,コウラ,コウラ
桃李	名詞,固有名詞,人名,名,*,*,桃李,トウリ,トーリ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
何	名詞,代名詞,一般,*,*,*,何,ナン,ナン
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
家	名詞,接尾,一般,*,*,*,家,ケ,ケ
丼	名詞,接尾,一般,*,*,*,丼,ドン,ドン
バシ	名詞,一般,*,*,*,*,バシ,バシ,バシ
ジャニーズショップ	名詞,固有名詞,一般,*,*,*,ジャニーズショップ,ジャニーズショップ,ジャニーズショップ
ビンゴゲーム	名詞,一般,*,*,*,*,ビンゴゲーム,ビンゴゲーム,ビンゴゲーム
マイスター	名詞,固有名詞,一般,*,*,*,マイスター,マイスター,マイスター
ゴスロリ	名詞,一般,*,*,*,*,ゴスロリ,ゴスロリ,ゴスロリ
モア	名詞,固有名詞,一般,*,*,*,モア,モア,モア
スヌーピーグッズ	名詞,固有名詞,一般,*,*,*,スヌーピーグッズ,スヌーピーグッズ,スヌーピーグッズ
HST	名詞,固有名詞,一般,*,*,*,HST,HST,HST
とんど	名詞,固有名詞,一般,*,*,*,とんど,トンド,トンド
げえげ	名詞,固有名詞,一般,*,*,*,げえげ,ゲエゲ,ゲエゲ
トンド	名詞,固有名詞,一般,*,*,*,トンド,トンド,トンド
サンダーマウンテン	名詞,固有名詞,一般,*,*,*,サンダーマウンテン,サンダーマウンテン,サンダーマウンテン
播州織	名詞,固有名詞,一般,*,*,*,播州織,播州織,播州織
ツタヤ	名詞,固有名詞,一般,*,*,*,ツタヤ,ツタヤ,ツタヤ
イスター	名詞,固有名詞,一般,*,*,*,イスター,イスター,イスター
なぎ	名詞,固有名詞,人名,名,*,*,なぎ,ナギ,ナギ
ネイチャーパーク	名詞,固有名詞,一般,*,*,*,ネイチャーパーク,ネイチャーパーク,ネイチャーパーク
ユーキャン	名詞,固有名詞,一般,*,*,*,ユーキャン,ユーキャン,ユーキャン
コイケヤ	名詞,固有名詞,一般,*,*,*,コイケヤ,コイケヤ,コイケヤ
ビーズアクセ	名詞,一般,*,*,*,*,ビーズアクセ,ビーズアクセ,ビーズアクセ
シルバーアクセ	名詞,一般,*,*,*,*,シルバーアクセ,シルバーアクセ,シルバーアクセ
つぼ	名詞,一般,*,*,*,*,つぼ,ツボ,ツボ
げえげえ	名詞,固有名詞,一般,*,*,*,げえげえ,ゲエゲエ,ゲエゲエ
